Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_country_of_citizenship,actor_occupation
Abhay Deol,6,M,3/15/1976,/m/02sch9,/m/026ksyr,2,Q511589,India,['actor']
Imtiaz Khan,6,M,,/m/0dryh9k,/m/0cgstp0,2,,,
Usha Nadkarni,6,F,,,/m/0gc0qfr,2,Q7901885,India,"['film actor', 'television actor']"
Moon Moon Sen,6,F,3/28/1948,/m/0bpjh3,/m/08t7tw,2,Q1609586,India,"['actor', 'politician']"
Geeta Bali,6,F,1930,/m/0bfrrj,/m/0c9st_,2,Q2360377,India,['actor']
Neetu Chandra,5,F,6/20/1984,/m/0cm7w1,/m/03cb13d,2,Q3535247,India,"['actor', 'model']"
Kishore Sahu,5,M,11/22/1915,/m/0dryh9k,/m/05f7vg8,2,Q15452028,India,"['film director', 'actor', 'film producer', 'screenwriter']"
Suchitra Sen,4,F,4/6/1931,/m/0fqp6zk,/m/067ll2,2,Q467343,India,['film actor']
Satya Banerjee,4,M,,,/m/0j_30f,2,,,
Mukesh Khanna,4,M,6/19/1958,,/m/08s3jk,2,Q3522314,India,"['actor', 'television actor']"
Nafisa Ali,4,F,1/8/1957,/m/0dryh9k,/m/07yw4b,2,Q3595559,India,"['actor', 'model', 'politician', 'swimmer', 'beauty pageant contestant', 'human rights activist']"
Vivek Mushran,4,M,8/9/1969,,/m/03grrk9,2,Q7937588,India,['actor']
Jennifer Kendal,4,F,2/28/1934,/m/0d7wh,/m/04tqzq,2,Q6052334,United Kingdom,"['actor', 'film actor']"
Kiran Juneja,4,F,,,/m/0cm85_y,2,Q6414804,India,"['actor', 'television actor']"
Ayub Khan,4,M,1974,/m/09743,/m/05zhrvp,2,Q4831766,India,"['actor', 'television actor']"
Parvin Dabas,4,M,7/12/1974,/m/0222hg,/m/03cc36k,2,Q15454102,India,"['actor', 'model', 'film director']"
Vineeta,4,F,,,/m/0gcglns,2,,,
Faisal Khan,4,M,1966-09,/m/0dryh9k,/m/07457s,2,Q5431069,India,"['actor', 'television actor']"
Suchitra Pillai-Malik,4,F,4/15/1960,/m/03w9bjf,/m/0b6npsd,2,Q7632917,India,"['actor', 'model', 'television actor']"
Dibyendu Bhattacharya,4,M,,,/m/0jvfy7,2,Q16200302,India,"['actor', 'television actor']"
O.P. Ralhan,4,M,1925,/m/0dryh9k,/m/0dm308_,2,Q16013934,,"['actor', 'film director', 'film producer', 'screenwriter']"
Tariq,4,M,,,/m/0dj2kb8,2,Q16202710,India,['actor']
Shaheen Khan,4,F,,,/m/09tf4pl,2,Q7461581,India,['actor']
Mahabanoo Mody-Kotwal,4,F,,,/m/0gbys79,2,,,
Gurdas Maan,4,M,1/4/1957,,/m/01qj_k4,2,Q3694931,India,"['actor', 'lyricist', 'songwriter', 'playback singer', 'writer']"
Ashwini Bhave,4,F,,,/m/026tth4,2,Q4806199,India,"['actor', 'television actor']"
Jugal Hansraj,4,M,7/26/1972,/m/0dryh9k,/m/05d7qw,2,Q2347167,India,"['actor', 'screenwriter', 'film director', 'model']"
Divya Rana,4,F,,,/m/0k29wn,2,Q5284706,India,['actor']
Kajal Kiran,4,F,,/m/0cqgdq,/m/09v6_4f,2,Q16730883,India,"['actor', 'film actor']"
Nagesh Kukunoor,4,M,3/30/1967,,/m/087h_9,2,Q3633946,India,"['film director', 'actor', 'film producer', 'screenwriter']"
Ram Kapoor,3,M,9/1/1973,,/m/02r5l09,2,Q3635459,India,"['actor', 'television actor']"
Varsha Usgaonkar,3,F,,,/m/0271dpr,2,Q7916120,India,"['model', 'actor', 'television actor']"
Shashi Puri,3,M,,,/m/05t0bpk,2,Q7490560,,"['actor', 'film actor']"
Umesh Sharma,3,M,,,/m/0jvmxh,2,,,
Sailesh Kumar,3,M,,,/m/0gbxryl,2,,,
Mushtaq Khan,3,M,,,/m/0h3td9n,2,Q6941353,India,"['actor', 'television actor']"
Ratnamala,3,F,,/m/0dryh9k,/m/0gc0svl,2,,,
Asha Sachdev,3,F,,,/m/080g_c3,2,Q4804517,India,"['actor', 'television actor']"
Sandhya Roy,3,F,,,/m/02psm1k,2,Q7416296,India,"['actor', 'politician']"
Radha Saluja,3,F,,/m/0dryh9k,/m/0gcyvkz,2,Q7280192,India,['actor']
Sarfaraz Khan,3,M,4/22/1976,,/m/0gbz3mz,2,Q7423871,India,"['actor', 'film actor']"
Dev Kumar,3,M,,,/m/0gb_m8k,2,,,
Milind Soman,3,M,11/4/1965,,/m/06kh6q,2,Q3181904,India,"['actor', 'model', 'film producer']"
Kabir Sadanand,3,M,,,/m/0gc028t,2,Q17414756,India,"['film director', 'actor', 'television actor']"
Smriti Mishra,3,F,,,/m/09rtr4k,2,Q7546544,India,['actor']
Biswajit Chakraborty,3,M,,,/m/0dgsd62,2,Q4918622,India,['actor']
Priti Sapru,3,F,12/24/1957,/m/0b79c7,/m/0gc2zgn,2,Q7245981,India,"['actor', 'film director']"
Aryan Vaid,3,M,7/4/1971,/m/0dryh9k,/m/0ktdtr,2,Q4802648,India,"['actor', 'model', 'beauty pageant contestant']"
Upen Patel,3,M,8/16/1981,/m/03w9bjf,/m/0dm771,2,Q3494290,United Kingdom,"['actor', 'model']"
Bina Rai,3,F,6/4/1936,,/m/0ccljr,2,Q523103,India,"['actor', 'film actor']"
Neeraj Sood,3,M,,,/m/0gdlyrh,2,Q60737186,,['actor']
Priya Rajvansh,3,F,1937,/m/0dryh9k,/m/0cfym4,2,Q7246473,India,['actor']
Manohar Singh,3,M,1938,,/m/03d0nn7,2,Q15134222,India,"['actor', 'television actor', 'stage actor']"
Anurag Kashyap,3,M,9/10/1972,,/m/0285xqh,2,Q2839609,India,"['film director', 'film producer', 'actor', 'screenwriter', 'film editor', 'businessperson']"
Snehal Dabi,3,M,,,/m/04q3bv5,2,Q16728329,India,['actor']
Paidi Jairaj,3,M,9/28/1909,/m/0dryh9k,/m/03y5lfs,2,Q2043591,India,"['actor', 'film director', 'stage actor']"
Ajinkya Deo,3,M,,/m/0dryh9k,/m/0gc5k13,2,Q4699751,India,['actor']
Vijay Anand,3,M,1/22/1925,,/m/02g5bf,2,Q732416,British Raj,"['film director', 'film producer', 'screenwriter', 'film editor', 'film actor']"
Vishal Malhotra,3,M,7/22/1981,/m/0dryh9k,/m/06znml3,2,Q7935930,India,"['actor', 'television actor']"
Vicky Ahuja,3,M,,/m/0dryh9k,/m/0gc9cv_,2,,,
Kalki Koechlin,3,F,1/9/1983,/m/03ts0c,/m/05h2g0r,2,Q3192216,France,"['stage actor', 'film actor', 'screenwriter', 'writer', 'television actor']"
Arya Babbar,3,M,1/4/1981,/m/0dryh9k,/m/02qjhhd,2,Q2752875,India,['actor']
Javed Khan,3,M,,,/m/080ppkr,2,Q6165311,India,"['actor', 'television actor']"
Puru Raajkumar,3,M,,,/m/03crflr,2,Q7261613,India,['actor']
Vivek Vaswani,3,M,1972,,/m/0b76w8c,2,Q3561514,India,"['film director', 'actor', 'film producer']"
Kunal Kumar,3,M,,,/m/0gc2w2g,2,Q6444163,India,"['actor', 'film actor']"
Badri Prasad,3,M,,,/m/0ccblms,2,,,
Shefali Shah,3,F,1974-07,/m/0dryh9k,/m/02pt_b1,2,Q7492560,India,"['actor', 'television actor']"
Mandira Bedi,3,F,4/15/1972,/m/03fvrb,/m/03bp3h,2,Q2721868,India,"['television presenter', 'actor', 'model', 'presenter', 'television actor']"
Ameeta,3,F,,/m/0dryh9k,/m/03c6m4w,2,Q4742143,India,['actor']
S.K. Prem,3,M,,,/m/0gbwws_,2,,,
Shahana Goswami,3,F,5/6/1986,,/m/04jd5lh,2,Q11303319,India,['actor']
Alaknanda Roy,3,F,,,/m/0j_c08,2,,,
Ehsan Khan,3,M,,/m/0dryh9k,/m/0gbzb_9,2,,,
Shehzad Khan,3,M,,,/m/073rv1,2,Q7492859,India,"['actor', 'film actor']"
Tulip Joshi,3,F,9/11/1979,,/m/0861_l,2,Q7852064,India,"['actor', 'model', 'television actor']"
Vipin Sharma,3,M,,/m/0dryh9k,/m/05f5bt3,2,Q7933494,India,['actor']
Anjana Mumtaz,3,F,,/m/0dryh9k,/m/0g8p5s5,2,Q12412964,India,"['film actor', 'television actor', 'actor']"
Imran Khan,3,M,1/13/1983,/m/04gfy7,/m/043nt7h,2,Q312781,India,['actor']
Chitrangada Singh,3,F,3/28/1976,/m/078vc,/m/0chjyv,2,Q5102344,India,"['actor', 'model']"
Pranoti Ghosh,3,F,,,/m/0gb_mq3,2,,,
Mubarak,3,M,1/30/1909,,/m/0gbx5k1,2,Q1568564,India,"['actor', 'screenwriter']"
Sharbani Mukherjee,3,F,1983,/m/0dryh9k,/m/084rp8,2,Q7489442,India,['actor']
Simple Kapadia,3,F,8/15/1958,/m/0g0x7_,/m/0c6876,2,Q7520685,India,"['actor', 'costume designer']"
Vishwa S. Badola,3,F,,,/m/0k3_43,2,,,
Yuvika Choudhary,3,F,11/6/1985,/m/0dryh9k,/m/03d0nwt,2,Q8062169,India,"['actor', 'television actor']"
Rajshree,3,F,1945,/m/0dryh9k,/m/0cpnt7,2,Q7286437,India,['actor']
Rajendra Gupta,3,M,,/m/0dryh9k,/m/04jfp_k,2,Q2003979,India,"['film actor', 'television actor']"
Shamita Shetty,3,F,2/2/1979,/m/074w_m,/m/05d7pg,2,Q2393916,India,"['actor', 'film actor', 'model']"
Nawazuddin Siddiqui,3,M,1974,,/m/064kw3f,2,Q2995800,India,['actor']
Kushaal Paunjabi,3,M,,/m/0dryh9k,/m/0gc6ksd,2,Q6447875,India,"['actor', 'film actor', 'television actor']"
Atul Parchure,3,M,,,/m/0gbzx6d,2,Q4818794,India,['actor']
Tanisha Mukherjee,3,F,1/1/1978,/m/0dryh9k,/m/07_mtj,2,Q146830,India,"['actor', 'film actor', 'television actor']"
Harsh Chhaya,3,M,,/m/0f0gt_,/m/0gbxsj1,2,Q16200503,India,"['actor', 'television actor', 'film director']"
Vikas Bhalla,3,M,10/24/1978,/m/0dryh9k,/m/06_w4z_,2,Q2841613,India,"['actor', 'singer', 'television actor']"
Siddarth Jadhav,3,M,10/23/1981,,/m/05s_gg2,2,Q2190510,India,"['actor', 'television actor']"
Sumita Sanyal,3,F,10/9/1945,/m/0bpjh3,/m/02pskbk,2,Q7637150,India,"['actor', 'film actor']"
Kashmira Shah,3,F,12/2/1970,/m/0cqgdq,/m/02qgsjt,2,Q6374451,India,"['actor', 'model']"
Kitu Gidwani,3,F,10/22/1957,/m/029f2r,/m/0ff_01,2,Q3634967,India,"['actor', 'model', 'television actor']"
Shakti Samanta,3,M,1/13/1926,,/m/07g039,2,Q1397481,India,"['film director', 'film producer', 'screenwriter']"
Rakesh Pandey,3,M,,,/m/0g8p5rm,2,Q7286616,India,"['film actor', 'television actor']"
Barry John,3,M,1944,/m/0d7wh,/m/080g6w_,2,Q4864354,India,"['theatrical director', 'actor']"
Kalpana Kartik,3,F,,,/m/0d27_8,2,Q6354365,India,['actor']
Rahul Roy,3,M,2/9/1968,,/m/04xg7s,2,Q7283617,India,"['actor', 'model']"
Kamal Deep,3,M,,,/m/0g9pvyf,2,,,
Sudhir Pandey,3,M,,,/m/0gb_cst,2,Q15697622,India,"['actor', 'film actor']"
David Firestar,3,M,,/m/02ctzb,/m/0cs_5xh,2,,,
Nassar Abdulla,3,M,,,/m/0k0q_c,2,,,
Salma Agha,3,F,4/3/1962,/m/0bs7l_v,/m/02r97m9,2,Q1736480,United Kingdom,"['actor', 'singer', 'film actor']"
Pitobash,3,M,,/m/0dryh9k,/m/0gm19zt,2,Q4504392,India,['actor']
Rameshwari,3,F,,/m/09m6hr,/m/03czhr1,2,Q7680192,India,"['actor', 'television actor']"
Anaitha Nair,3,F,7/19/1984,/m/0bymc,/m/02x9x4q,2,Q4750943,India,['actor']
Sarita,3,F,,,/m/0gcdwmn,2,,,
Tisca Chopra,3,F,11/1/1973,/m/0dryh9k,/m/05f850m,2,Q718211,India,"['actor', 'television actor']"
Mehmood Jr.,3,M,,/m/0dryh9k,/m/0gdk4wq,2,Q12429127,India,"['actor', 'film director', 'television actor']"
Zaheera,3,F,,/m/0dryh9k,/m/0cc6442,2,Q8064635,India,['actor']
Gaurav Gera,3,M,,,/m/0ch5k_g,2,Q5527751,India,"['actor', 'television actor']"
Mahi Gill,3,F,12/19/1975,/m/0dryh9k,/m/05p2900,2,Q487198,India,['actor']
Gracy Singh,3,F,7/20/1980,,/m/040kmf,2,Q431012,India,"['film actor', 'television actor', 'actor']"
Deb Mukherjee,3,M,,/m/0fqp6zk,/m/09nc76,2,Q5247782,India,"['actor', 'film director']"
Shivkumar Subramaniam,3,M,,,/m/0ck2d6y,2,Q7499199,India,"['author', 'actor', 'screenwriter', 'television actor']"
Lalit Parashar,3,M,,/m/0dryh9k,/m/0gbwr6d,2,,,
Randeep Hooda,3,M,8/20/1976,,/m/02ps3y3,2,Q4141279,India,"['actor', 'model']"
Swini Khara,3,F,7/12/1998,/m/0dryh9k,/m/04n3v0_,2,Q7658742,India,['actor']
Somy Ali,3,F,3/25/1974,/m/0647lm,/m/02q_pbg,2,Q7560550,Pakistan,"['journalist', 'actor', 'model']"
Gul Panag,3,F,1/3/1979,/m/02sch9,/m/026n52v,2,Q2700181,India,"['actor', 'model', 'beauty pageant contestant', 'politician']"
Girish Kulkarni,3,M,,/m/0cqgdq,/m/0ck7vfw,2,Q2162531,India,"['author', 'actor', 'screenwriter', 'film director']"
Divya Bharti,3,F,2/25/1974,/m/0dryh9k,/m/07_3kh,2,Q465005,India,"['film actor', 'actor']"
Gita Siddharth,3,F,,,/m/0jxbk4,2,Q5565038,India,['actor']
Vrajesh Hirjee,3,M,1971,/m/0g0x7_,/m/080b17g,2,Q7942575,India,"['actor', 'television presenter', 'television actor']"
Yuri Suri,3,M,8/22/1950,,/m/0bxwgf7,2,,,
Kamlesh Sawant,3,M,,,/m/0gb_v_3,2,Q21204634,India,['actor']
Rajat Bedi,3,M,,/m/02sch9,/m/0ds6vdd,2,Q7285864,India,"['actor', 'television producer']"
Ajay Chadha,3,M,,,/m/0gdl_2s,2,,,
Lalita Kumari,3,F,,,/m/0gc2mvj,2,,,
Jayant,3,M,10/15/1915,/m/0bs7l_v,/m/0b73y9,2,Q6167556,,['actor']
Uma Dutt,3,M,,,/m/0gdm4ft,2,,,
Chhabi Biswas,3,M,7/12/1900,/m/0dryh9k,/m/0fpfpm,2,Q735081,India,"['stage actor', 'film actor']"
Mukesh Bhatt,3,M,6/5/1952,/m/0g0x7_,/m/0bhc551,2,Q6933426,India,"['film producer', 'actor']"
Babita,3,F,4/20/1948,/m/029f2r,/m/07r5gt,2,Q2877914,India,['actor']
Anupama Verma,3,F,,/m/0dryh9k,/m/0274j4z,2,Q4777840,India,"['actor', 'model', 'television actor']"
Pankaj Dheer,3,M,,/m/0dryh9k,/m/0cc545z,2,Q7131283,India,"['actor', 'television actor']"
Zarine Khan,3,F,5/14/1984,/m/09743,/m/09v84w7,2,Q3046959,India,"['model', 'actor']"
Narendranath,3,M,,,/m/0gc4w8y,2,Q18638546,India,['actor']
Ashok Saraf,3,M,6/4/1947,,/m/0833bt,2,Q3635762,India,"['actor', 'television actor']"
Cyrus Sahukar,3,M,8/6/1978,/m/0bymc,/m/0c49yr,2,Q369711,India,"['actor', 'television presenter', 'film actor', 'television actor']"
Pankaj Berry,3,M,,,/m/0gdl1w1,2,Q12436512,India,"['actor', 'television actor']"
Mayadas,3,F,,,/m/0gc4y3_,2,,,
Suresh Chatwal,3,M,,,/m/0gb_k87,2,,,
Anil Dhawan,3,M,,,/m/0gbzs4s,2,Q4764634,India,"['actor', 'television actor']"
Renuka Shahane,3,F,3/27/1965,/m/0dryh9k,/m/025yytp,2,Q3633286,India,"['actor', 'television actor', 'film director', 'screenwriter']"
Anjana Sukhani,3,F,12/10/1978,/m/029f2r,/m/02qrmwk,2,Q4765768,India,"['model', 'actor']"
Avtar Gill,3,M,,,/m/0gdk0k2,2,Q14754856,India,"['actor', 'television actor']"
Seema Bhargava,3,F,,,/m/0gbwzf4,2,,,
Nana Palsikar,3,M,1907,/m/0dryh9k,/m/080ff9t,2,Q6962310,India,['actor']
V. Gopal,3,M,,,/m/0g9pvxp,2,Q25541404,,['actor']
Kim,3,,,,/m/0m_2gwc,2,,,
Darshan Jariwala,3,M,9/29/1957,/m/0g0x7_,/m/03cd1_x,2,Q5225529,India,"['actor', 'television actor']"
Rohitash Gaud,3,M,,/m/0dryh9k,/m/0ds9z65,2,Q7359779,India,"['actor', 'television actor']"
Rajnibala,3,F,,/m/0dryh9k,/m/0gc1357,2,,,
Imran Hasnee,3,M,12/1/1968,/m/0dryh9k,/m/0gc8tyv,2,Q16729698,,['actor']
Shiny Ahuja,3,M,5/15/1973,/m/0dryh9k,/m/0fkch2,2,Q3494501,India,"['actor', 'model']"
Sulochana Devi,3,F,7/30/1928,,/m/04ld7t0,2,Q7636492,British Raj,['actor']
Sitaram Panchal,3,M,,,/m/0cl42rs,2,Q34329045,India,['actor']
Gautam Chakravarti,3,M,,,/m/0j_30t,2,,,
Ulhas,3,M,,,/m/07q9mxs,2,,,
Kulraj Randhawa,3,F,5/16/1983,,/m/02q43qv,2,Q6443214,India,"['actor', 'model', 'television actor']"
Anuradha,3,F,,,/m/0bqs9xj,2,,,
Mink Singh,3,F,,/m/0dryh9k,/m/0gdk02k,2,,,
Mumtaz Begum,3,F,,,/m/0jz9z0x,2,Q15956515,India,['actor']
Frank Welker,681,M,3/12/1946,,/m/02gf_l,3,Q296577,United States of America,"['actor', 'comedian', 'voice actor']"
Rob Paulsen,388,M,3/11/1956,,/m/031c2r,3,Q311987,United States of America,"['podcaster', 'voice actor', 'comedian', 'television actor']"
Jeff Bennett,355,M,10/2/1962,,/m/04mlh8,3,Q311103,United States of America,"['actor', 'singer', 'voice actor', 'comedian']"
Jim Cummings,299,M,11/3/1952,,/m/02_p5w,3,Q310292,United States of America,"['actor', 'dub actor', 'singer', 'voice actor']"
Tress MacNeille,256,F,6/20/1951,,/m/0sw6y,3,Q237530,United States of America,"['voice actor', 'actor', 'singer', 'television actor', 'disc jockey']"
Mel Blanc,216,M,5/30/1908,/m/041rx,/m/0c5vh,3,Q349690,United States of America,"['actor', 'dub actor', 'television actor', 'voice actor', 'radio actor']"
Tara Strong,192,F,2/12/1973,/m/0g8_vp,/m/01tszq,3,Q4029,United States of America,"['voice actor', 'playback singer', 'stage actor']"
Grey DeLisle,183,F,8/24/1973,/m/025rpb0,/m/01r4bps,3,Q13938,United States of America,"['comedian', 'voice actor', 'singer-songwriter', 'actor']"
Tom Kenny,176,M,7/13/1962,,/m/01lly5,3,Q299282,United States of America,"['voice actor', 'comedian', 'screenwriter', 'television actor']"
Kath Soucie,169,F,2/20/1967,,/m/024my5,3,Q262910,United States of America,"['voice actor', 'stage actor', 'film actor', 'television actor']"
Kevin Michael Richardson,131,M,10/25/1964,/m/0x67,/m/0725ny,3,Q488335,United States of America,['actor']
Kenneth Mars,119,M,4/4/1935,,/m/03vpf_,3,Q1356690,United States of America,"['actor', 'voice actor', 'film actor', 'television actor']"
Adam Sandler,114,M,9/9/1966,/m/041rx,/m/0pz91,3,Q132952,United States of America,"['actor', 'television actor', 'film actor', 'film producer', 'singer', 'screenwriter', 'musician', 'writer', 'comedian', 'guitarist', 'television producer', 'executive producer', 'composer', 'voice actor']"
John Turturro,111,M,2/28/1957,,/m/01swck,3,Q244234,United States of America,"['actor', 'film director', 'writer', 'screenwriter', 'character actor', 'stage actor', 'television actor', 'film actor', 'director', 'film producer', 'voice actor', 'theatrical director']"
Russi Taylor,110,F,5/4/1944,,/m/06b4wb,3,Q264418,United States of America,"['voice actor', 'actor']"
Peter Cullen,107,M,7/28/1941,/m/0g8_vp,/m/03dn9v,3,Q910625,Canada,"['voice actor', 'film actor', 'television actor']"
Maurice LaMarche,106,M,3/30/1958,,/m/02wrhj,3,Q847124,Canada,"['stand-up comedian', 'actor', 'television producer', 'singer', 'voice actor', 'comedian', 'television actor']"
Charles Adler,105,M,10/2/1956,,/m/04hxyv,3,Q2557451,United States of America,"['voice actor', 'stage actor', 'television actor', 'screenwriter']"
Jess Harnell,99,M,12/23/1963,,/m/083wr9,3,Q258503,United States of America,"['actor', 'voice actor', 'singer', 'television actor', 'film actor', 'film producer']"
John Ingle,98,M,5/7/1928,,/m/044xpb,3,Q1354144,United States of America,"['actor', 'television actor', 'film actor', 'voice actor', 'teacher']"
Steve Buscemi,97,M,12/13/1957,/m/0xnvg,/m/01wbg84,3,Q104061,United States of America,"['television actor', 'film actor', 'film director', 'film producer', 'character actor', 'screenwriter', 'television director', 'stage actor', 'voice actor', 'actor', 'firefighter']"
John Fiedler,93,M,2/3/1925,,/m/06nsb9,3,Q944638,United States of America,"['actor', 'dub actor', 'stage actor', 'television actor', 'film actor', 'voice actor']"
Dee Bradley Baker,91,M,8/31/1962,,/m/0582cf,3,Q837676,United States of America,"['actor', 'singer', 'puppeteer', 'blogger', 'dub actor', 'television actor', 'voice actor']"
Wallace Shawn,89,M,11/12/1943,/m/048z7l,/m/085q5,3,Q311068,United States of America,"['actor', 'writer', 'voice actor', 'playwright', 'character actor', 'screenwriter', 'film actor', 'television actor', 'author']"
Phil LaMarr,86,M,1/24/1967,/m/0x67,/m/01nd6v,3,Q356541,United States of America,"['stand-up comedian', 'film director', 'television director', 'film producer', 'television producer', 'screenwriter', 'singer', 'dancer', 'voice actor', 'comedian', 'film actor', 'television actor', 'improviser']"
Carlos Alazraqui,86,M,7/20/1962,,/m/02hblj,3,Q1075796,United States of America,"['stand-up comedian', 'actor', 'television director', 'television producer', 'film actor', 'writer', 'television editor', 'singer', 'dancer', 'voice actor', 'comedian', 'screenwriter', 'film producer', 'film editor', 'television actor']"
Tom Hanks,85,M,7/9/1956,/m/02p4q5p,/m/0bxtg,3,Q2263,United States of America,"['film actor', 'film director', 'film producer', 'writer', 'voice actor', 'screenwriter', 'composer', 'character actor', 'television actor', 'television director', 'television producer', 'actor', 'television presenter', 'executive producer', 'narrator', 'stage actor', 'comedian', 'short story writer', 'director']"
John Ratzenberger,84,M,4/6/1947,,/m/0p8r1,3,Q374093,United States of America,"['voice actor', 'stage actor', 'film actor', 'television actor', 'screenwriter', 'actor']"
Billy West,83,M,4/16/1950,,/m/01rrwf6,3,Q531624,United States of America,"['voice actor', 'musician', 'singer', 'radio personality', 'podcaster', 'comedian', 'actor']"
Cree Summer,83,F,7/7/1969,/m/0g8_vp,/m/01tpl1p,3,Q262838,United States of America,"['actor', 'singer', 'voice actor', 'camera operator', 'composer', 'television actor', 'film director', 'screenwriter', 'film producer', 'singer-songwriter']"
Carolyn Lawrence,82,F,2/13/1967,,/m/032y6l,3,Q454102,United States of America,"['actor', 'voice actor', 'television actor', 'film actor']"
Tim Allen,81,M,6/13/1953,,/m/019vgs,3,Q208408,United States of America,"['comedian', 'film director', 'voice actor', 'film actor', 'television actor', 'racing automobile driver', 'television presenter']"
Joe Alaskey,79,M,4/17/1949,,/m/04lg9r,3,Q1691318,United States of America,"['stand-up comedian', 'television director', 'film producer', 'television producer', 'film director', 'screenwriter', 'dub actor', 'voice actor', 'comedian', 'film actor', 'television actor', 'actor']"
June Foray,76,F,9/18/1917,,/m/019803,3,Q241646,United States of America,"['voice actor', 'film actor']"
Clint Howard,75,M,4/20/1959,/m/03lmx1,/m/04xhwn,3,Q1101612,United States of America,"['actor', 'film actor', 'television actor', 'voice actor', 'screenwriter', 'film producer']"
John DiMaggio,75,M,9/4/1968,,/m/022s1m,3,Q313266,United States of America,"['actor', 'dub actor', 'television actor', 'voice actor']"
Anndi McAfee,74,F,9/28/1979,,/m/0g8j4s,3,Q2850737,United States of America,"['actor', 'television actor', 'voice actor', 'film actor']"
Aria Curzon,74,F,12/8/1987,,/m/099f51,3,Q4790143,United States of America,"['actor', 'singer', 'stage actor', 'television actor', 'voice actor', 'film actor']"
David Ogden Stiers,73,M,10/31/1942,,/m/01v3vp,3,Q202449,United States of America,"['actor', 'singer', 'musician', 'conductor', 'voice actor', 'comedian', 'television director', 'television actor', 'film actor']"
Don Messick,72,M,9/7/1926,,/m/029cpw,3,Q645399,United States of America,"['dub actor', 'stage actor', 'voice actor', 'screenwriter']"
Bill Farmer,69,M,11/14/1952,,/m/05rtpn,3,Q1364909,United States of America,"['voice actor', 'actor']"
Miriam Flynn,69,F,6/18/1952,,/m/0b58g8,3,Q654909,United States of America,"['television actor', 'film actor', 'stage actor', 'voice actor']"
Pamela Adlon,68,F,7/9/1966,,/m/062hgx,3,Q271426,United States of America,"['actor', 'dub actor', 'voice actor', 'television actor', 'film actor', 'film producer', 'television producer']"
Jason Marsden,65,M,1/3/1975,,/m/01b3bp,3,Q739105,United States of America,"['actor', 'film director', 'director', 'film producer', 'television producer', 'screenwriter', 'television editor', 'voice actor', 'television actor']"
Billy Bletcher,64,M,1894-09-24,,/m/06f_qn,3,Q390047,United States of America,"['film actor', 'television actor', 'voice actor', 'screenwriter']"
Joan Cusack,63,F,10/11/1962,/m/033tf_,/m/01fwpt,3,Q272946,United States of America,"['comedian', 'film actor', 'screenwriter', 'television actor', 'voice actor', 'actor']"
Jodi Benson,61,F,10/10/1961,,/m/01tt94,3,Q1138602,United States of America,"['singer', 'voice actor', 'musician', 'stage actor', 'film actor', 'musical theatre actor']"
Rob Schneider,60,M,10/31/1963,/m/048z7l,/m/01fyzy,3,Q192217,United States of America,"['television actor', 'film actor', 'comedian', 'screenwriter', 'anti-vaccine activist', 'film director', 'film producer', 'author', 'voice actor']"
Wayne Allwine,60,M,2/7/1947,,/m/048z11,3,Q334885,United States of America,"['actor', 'dub actor', 'voice actor', 'foley artist']"
Debi Derryberry,58,F,9/27/1967,,/m/062w4b,3,Q2571728,United States of America,"['voice actor', 'television actor', 'singer-songwriter', 'musician']"
John Goodman,57,M,6/20/1952,/m/07hwkr,/m/01nm3s,3,Q215072,United States of America,"['film producer', 'television actor', 'film actor', 'comedian', 'voice actor', 'singer', 'stage actor', 'actor']"
Allen Covert,57,M,10/13/1964,,/m/06rq2l,3,Q1713151,United States of America,"['actor', 'film producer', 'writer', 'screenwriter', 'film actor', ""children's writer"", 'television actor']"
Corey Burton,56,M,8/3/1955,,/m/01yh3y,3,Q965261,United States of America,"['actor', 'dub actor', 'voice actor']"
Tony Anselmo,55,M,2/18/1967,,/m/04shg6,3,Q719196,United States of America,"['actor', 'dub actor', 'character animator', 'clean-up artist', 'voice actor']"
Tim Curry,55,M,4/19/1946,/m/02w7gg,/m/07rzf,3,Q52392,United Kingdom,"['actor', 'comedian', 'singer', 'voice actor', 'film producer', 'television actor']"
Don Rickles,55,M,5/8/1926,/m/041rx,/m/013tjc,3,Q269890,United States of America,"['stand-up comedian', 'actor', 'television presenter', 'singer', 'dancer', 'voice actor', 'comedian', 'television actor']"
Mark Hamill,54,M,9/25/1951,/m/065b6q,/m/0154d7,3,Q210447,United States of America,"['dub actor', 'stage actor', 'film actor', 'television actor', 'voice actor', 'writer', 'film producer', 'actor', 'film director']"
Robert De Niro,54,M,8/17/1943,/m/0xnvg,/m/06cgy,3,Q36949,United States of America,"['film director', 'film producer', 'film actor', 'voice actor', 'television producer', 'screenwriter', 'stage actor', 'actor', 'theatrical producer', 'manufacturer']"
Paul Winchell,54,M,12/21/1922,,/m/01mv_n,3,Q731316,United States of America,"['inventor', 'voice actor', 'television actor', 'film actor']"
Ken Sansom,53,M,4/2/1927,,/m/0k6q3x,3,Q6388440,United States of America,"['actor', 'television actor', 'voice actor']"
Bill Fagerbakke,53,M,10/4/1957,,/m/01x0sy,3,Q591238,United States of America,"['voice actor', 'television actor', 'actor']"
