Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description
Brenda Marshall,3,F,1915-09-29,,/m/05qw5v,1,Q390039,actress (1915-1992)
Fergie,3,F,1975-03-27,,/m/01svw8n,1,Q180004,American singer
Preston Foster,3,M,1900-08-24,,/m/070d23,1,Q981418,"American actor, vocalist (1900-1970)"
Vic Damone,3,M,1928-06-12,,/m/01ngwkv,1,Q652295,American singer (1928-2018)
Charlotte Greenwood,3,F,1890-06-25,,/m/0dnfnr,1,Q2960984,American dancer and actor
Martin Gabel,3,M,1912-06-19,,/m/05xrj4,1,Q554000,American actor (1912-1986)
Betty Field,3,F,1913-02-08,,/m/02l0mw,1,Q265531,American actress
Woody Strode,3,M,1914-07-25,,/m/06_qlq,1,Q609860,American athlete and actor (1914-1994)
Michael Callan,3,M,1935-11-22,,/m/08yf77,1,Q1927128,American actor (1935–2022)
James Dunn,3,M,1901-11-02,,/m/03bp7b,1,Q471281,"actor, Vaudeville performer (1901–1967)"
Janet Margolin,3,F,1943-07-25,,/m/093h0p,1,Q435669,American actress (1943-1993)
Rory Calhoun,3,M,1922-08-08,,/m/05bw4t,1,Q1971737,American actor (1922–1999)
Philip Ober,3,M,1902-03-23,,/m/027zlhs,1,Q2073712,"American stage, film and television actor (1902-1982)"
Susan Cabot,3,F,1927-07-09,/m/041rx,/m/04npq_,1,Q16026,"district seat of Landkreis Limburg-Weilburg and town in Hesse, Germany"
Purnell Pratt,3,M,1885-10-20,,/m/0415rz2,1,Q2573935,American actor
Chester Gan,3,M,1908-07-04,,/m/09v3kql,1,Q5093560,American actor (1908-1959)
Helen Hayes,3,F,1900-10-10,,/m/018417,1,Q42511,English writer (1866–1946)
Robert Flemyng,3,M,1912-01-03,,/m/0bq0vl,1,Q530733,British actor (1912-1995)
John Huston,3,M,1906-08-05,,/m/0c12h,1,Q410546,chemical compound
Hayden Rorke,3,M,1910-10-23,,/m/0czyj8,1,Q1285368,American actor
Hugh O'Brian,3,M,1925-04-19,,/m/05b8m7,1,Q727086,American actor and United States Marine
Roscoe Karns,3,M,1891-09-07,,/m/03ccj2j,1,Q2166695,actor (1891-1970)
Basil Ruysdael,3,M,1888-07-24,,/m/03hhp1v,1,Q323595,American actor and opera singer
George Peppard,3,M,1928-10-01,,/m/0391v,1,Q36980,American actor (1928-1994)
Tony Bill,3,M,1940-08-23,,/m/02qh53w,1,Q588745,"American actor, producer and director"
Marian Marsh,3,F,1913-10-17,,/m/026gzvh,1,Q448255,actress (1913-2006)
Stacy Keach,3,M,1941-06-02,/m/02ctzb,/m/02hsgn,1,Q315090,American actor
Charles Sellon,3,M,1870-08-24,,/m/02z8tjk,1,Q2960215,American actor (1870–1937)
Stuart Erwin,3,M,1903-02-14,,/m/04jx7t,1,Q944719,American actor (1903–1967)
Nancy Coleman,3,F,1912-12-30,,/m/0b071v,1,Q431651,actress (1912-2000)
Donna Reed,3,F,1921-01-27,/m/02ctzb,/m/0234_q,1,Q5102309,Greek manuscript of the New Testament
Howie Mandel,3,M,1955-11-29,/m/041rx,/m/02_wxh,1,Q1190974,"Canadian comedian, television personality, screenwriter, actor, voice actor, producer, director, entrepreneur, game show host, author and podcaster"
Corinne Calvet,3,F,1925-04-30,,/m/0f134h,1,Q470134,actress (1925-2001)
Rhys Williams,3,M,1897-12-31,,/m/08pr22,1,Q2148362,Welsh actor (1897-1969)
Elmer Clifton,3,M,1890-03-14,,/m/0gz5j7,1,Q195029,American film director
Ethel Wales,3,F,1878-04-04,,/m/03cngrl,1,Q3059263,actress (1878-1952)
Madge Evans,3,F,1909-07-01,,/m/0b07mf,1,Q433532,actress (1909-1981)
E. E. Clive,3,M,1879-08-28,,/m/0d9blw,1,Q556552,Welsh actor in the early 20th century
Jessie Ralph,3,F,1864-11-05,,/m/0d6lqy,1,Q441745,actress (1864-1944)
Valentina Cortese,3,F,1923-01-01,,/m/03lyk9,1,Q259986,Italian actress (1923-2019)
Karen Steele,3,F,1931-03-20,,/m/0f0571,1,Q3193130,American actress and model (1931-1988)
Christopher Mitchum,3,M,1943-10-16,,/m/04h273,1,Q1086852,American actor; politician
Ralph Forbes,3,M,1904-09-30,,/m/039mzr,1,Q3418251,English actor (1904-1951)
Helmut Dantine,3,M,1917-10-07,,/m/08vj24,1,Q743056,Austrian Hollywood actor
Leon Errol,3,M,1881-07-03,,/m/08y3q6,1,Q6524628,Australian actor
Lillian Elliott,3,F,1874-04-24,,/m/03cz213,1,Q6548106,actress
Will Geer,3,M,1902-03-09,,/m/03qcyy,1,Q1279389,American actor and activist (1902-1978)
Alexander Knox,3,M,1907-01-16,,/m/012jbv,1,Q545858,Canadian actor and author of adventure novels (1907-1995)
Virginia Field,3,F,1917-11-04,,/m/074yf5,1,Q450964,British actress (1917-1992)
Lou Wagner,3,M,1948-08-14,,/m/0gbvhm,1,Q3260154,American actor
David Frankham,3,M,1926-02-16,,/m/0c5cgb,1,Q2409242,British actor
Ivan Miller,3,M,1888-11-13,,/m/0gcx7kc,1,,
Jane Russell,3,F,1921-06-21,,/m/02w3l1,1,Q2831,"American singer, songwriter, and dancer (1958–2009)"
Louis Wolheim,3,M,1880-03-28,,/m/059r5c,1,Q357363,American character actor (1880-1931)
Philip Carey,3,M,1925-07-15,,/m/03cw5f,1,Q649237,United States Marine and actor (1925-2009)
Joseph W. Girard,3,M,1871-04-02,,/m/02x26sr,1,Q3185767,actor (1871-1949)
Dub Taylor,3,M,1907-02-26,,/m/05f0d6,1,Q611266,American actor (1907-1994)
John Carroll,3,M,1906-07-17,,/m/09tq5y,1,Q952198,American actor (1906-1979)
Lyle Talbot,3,M,1902-02-08,,/m/09045p,1,Q3039327,American actor (1902-1996)
Desi Arnaz,3,M,1917-03-02,/m/04dbw3,/m/02fgg,1,Q472535,"Cuban-born American musician, actor and television producer (1917-1986)"
Chester Morris,3,M,1901-02-16,,/m/011_pk,1,Q983420,American actor (1901-1970)
Julia Faye,3,F,1892-09-24,,/m/0c05x8,1,Q3189043,American actress (1892-1966)
Helen Mack,3,F,1913-11-12,,/m/0b1phn,1,Q531224,American actress (1913-1986)
George Coulouris,3,M,1903-10-01,,/m/073yhm,1,Q1507169,British actor (1903-1989)
Bonnie Bartlett,3,F,1929-06-20,,/m/069v80,1,Q441779,American actress
Irene Ware,3,F,1910-11-06,,/m/03hgyjv,1,Q6069290,American actress (1910-1993)
Charles Winninger,3,M,1884-05-26,,/m/0dxpzh,1,Q2080114,actor (1884-1969)
Nick Dennis,3,M,1904-04-26,,/m/08mxy8,1,Q389728,American actor (1904-1980)
Robert Walker,3,M,1918-10-13,,/m/053y56,1,Q550059,American actor (1918-1951)
Jack Haley,3,M,1898-08-10,,/m/02jsyv,1,Q927057,"American stage, radio and film actor"
O.P. Heggie,3,M,1877-09-17,,/m/05mrl8v,1,Q2007296,American actor (1877-1936)
Lucile Browne,3,F,1907-03-18,,/m/02w9xtw,1,Q749407,American actress (1907-1976)
Henry Slate,3,M,1910-06-15,,/m/0c1nsvj,1,Q3273372,1988 studio album by Vanessa Paradis
Donald O'Connor,3,M,1925-08-28,,/m/01wrn5,1,Q348345,"American dancer, singer, and actor"
Mary Carlisle,3,F,1912-02-03,,/m/0f07g0,1,Q718786,American actress (1914-2018)
Evelyn Keyes,3,F,1916-11-20,,/m/026gn9,1,Q253328,American film actress
Alma Kruger,3,F,1868-09-13,,/m/03cztr9,1,Q2839063,Film and stage actress (1871-1960)
Eddie Cantor,3,M,1892-01-31,,/m/01k8f20,1,Q350472,"American actor, singer, dancer and comedian (1892-1964)"
John Miljan,3,M,1892-11-09,,/m/03cbgxm,1,Q1263798,actor
Sheila Allen,3,F,1929-02-02,,/m/0bz_02,1,Q3959323,American actress (1929-2013)
Grace Kelly,3,F,1929-11-12,,/m/0bq1z,1,Q8514,barren area of land where little precipitation occurs
Mary Elizabeth Winstead,3,F,1984-11-28,,/m/073x6y,1,Q207873,American actress and singer
Halliwell Hobbes,3,M,1877-11-16,,/m/04yg_j0,1,Q3126164,British actor (1877-1962)
John Dehner,3,M,1915-11-23,,/m/09kpbj,1,Q2017853,"American actor in radio, television, and films (1915-1992)"
Bert Freed,3,M,1919-11-03,,/m/0dn88w,1,Q2800403,American actor (1919-1994)
Whit Bissell,3,M,1909-10-25,,/m/057_ft,1,Q329156,American actor (1909–1996)
Dorothy Jordan,3,F,1906-08-09,,/m/054fhqn,1,Q434227,actress (1906-1988)
June Preisser,3,F,1920-06-26,,/m/03mf9ht,1,Q6312396,American actress
Robert Strauss,3,M,1913-11-08,,/m/0266n4d,1,Q355932,American film actor (1913-1975)
Bill Goodwin,3,M,1910-07-28,,/m/0dmpjl,1,Q15999120,American actor (1910-1958)
Michael Ansara,3,M,1922-04-15,,/m/06xkzs,1,Q1276579,"American stage, screen, and voice actor"
DeWitt Jennings,3,M,1871-06-21,,/m/03gqqck,1,Q3020059,American actor
James Donlan,3,M,1888-07-23,,/m/04f_wnc,1,Q6132715,American actor (1888-1938)
Andrew Prine,3,M,1936-02-14,,/m/06ptf0,1,Q263095,actor
Clive Brook,3,M,1887-06-01,,/m/06mqlc,1,Q1101883,British actor (1887-1974)
Al Jolson,3,M,1886-05-26,/m/041rx,/m/01mgtn4,1,Q128532,"American entertainer, actor, and singer (1886-1950)"
Ernest Thesiger,3,M,1879-01-15,,/m/0642_j,1,Q93455772,star
Alice Terry,3,F,1899-07-29,,/m/06_tfw,1,Q446444,actress (1899-1987)
Barbara Hershey,3,F,1948-02-05,/m/041rx,/m/03lvyj,1,Q229042,American actress
Karl Swenson,3,M,1908-07-23,,/m/0fmm80,1,Q690569,American actor
Aldo Ray,3,M,1926-09-25,,/m/03zzpx,1,Q714010,actor (1926-1991)
John Buckler,3,M,,,/m/0k42_s,1,Q61911591,British actor (1906-1936)
Louise Fazenda,3,F,1895-06-17,,/m/0c9hdz,1,Q450986,actress
Elizabeth Allan,3,F,1908-04-09,,/m/07jcbz,1,Q283178,actress (1910-1990)
Clarence Muse,3,M,1889-10-14,/m/0x67,/m/02w9g0s,1,Q2975569,American actor and director
Season Hubley,3,F,1951-03-14,,/m/08bx_1,1,Q2721207,American actress
Joseph Schildkraut,3,M,1896-03-22,,/m/039xbb,1,Q93632,actor (1896-1964)
Delores Taylor,3,F,1935,,/m/04fzy5h,1,Q5254342,American actress
Robert Benchley,3,M,1889-09-15,,/m/03gph9,1,Q1790472,American writer and actor (1889-1945)
Kim Hunter,3,F,1922-11-12,,/m/01574b,1,Q59824,American actress (1922-2002)
Joe Sawyer,3,M,1906-08-29,,/m/02x2pp8,1,Q460968,actor (1906-1982)
John Davidson,3,M,1886-12-25,,/m/03gtth9,1,Q3181327,actor (1886-1968)
Henry Wilcoxon,3,M,1905-09-08,,/m/014g8p,1,Q1372180,actor of British West Indian origin (1905-1984)
Dayton Lummis,3,M,1903-08-08,,/m/05q7xzg,1,Q5243551,American actor (1903-1988)
Marshall Thompson,3,M,1925-11-27,,/m/08y0rb,1,Q560770,American film/TV actor (1925-1992)
Clarence Wilson,3,M,1876-11-17,,/m/05bh248,1,Q2975587,American actor (1876-1941)
Mel Ferrer,3,M,1917-08-25,/m/04dbw3,/m/05grdr,1,Q333475,"American film actor, director and producer (1917–2008)"
Michael Hurst,3,M,1957-09-20,,/m/05b_9t,1,Q250041,"New Zealand actor, director and writer"
Mary Brian,3,F,1906-02-17,,/m/07x895,1,Q444492,American actress (1906-2002)
Harold Gould,3,M,1923-12-10,,/m/076689,1,Q954950,American actor (1923-2010)
Verree Teasdale,3,F,1903-03-15,,/m/047dp2j,1,Q3556073,American stage actor
Edmund Lowe,3,M,1890-03-03,,/m/0f0zn1,1,Q758,chemical element with symbol Zn and atomic number 30
Parley Baer,3,M,1914-08-05,,/m/06s0lj,1,Q973490,American actor (1914-2002)
Arthur Hoyt,3,M,1874-03-19,,/m/07w_zl,1,Q1421566,actor (1874-1953)
Hooper Atchley,3,M,1887-04-30,,/m/04n3_6w,1,Q5898350,American actor (1887-1943)
Perry Lopez,3,M,1931-07-22,,/m/02z5bft,1,Q259151,American actor (1929-2008)
Boothe Howard,3,M,1890-10-02,,/m/0gdk2c5,1,Q712353,American country singer-songwriter (1929-2006)
Lotus Long,3,F,1909-07-18,,/m/09v380h,1,Q6685181,American actress (1909-1990)
Hannah Jones,3,F,,,/m/0bv_pdc,1,,
Ethel Merman,3,F,1908-01-16,,/m/0pkw7,1,Q129087,American actress and singer (1908-1984)
Claire Windsor,3,F,1892-04-14,,/m/06z41w,1,Q339669,American actress (1892-1972)
Dorothy Patrick,3,F,1921-06-03,,/m/09vx5h,1,Q3037180,Canadian-American actress (1921–1987)
Lorraine Gary,3,F,1937-08-16,,/m/074rn6,1,Q266942,American actress
Evelyn Brent,3,F,1901-10-20,,/m/03q92v,1,Q31221,stage and film actress from the United States
Nils Asther,3,M,1897-01-17,,/m/0cz73l,1,Q722861,actor (1897-1981)
Ronnie Schell,3,M,1931-12-23,,/m/03rt93,1,Q5852710,"American actor, comedian and cartoon voice actor"
George Cleveland,3,M,1885-09-17,,/m/02x4218,1,Q3101495,actor
"Douglas Fairbanks, Jr.",3,M,1909-12-09,,/m/01hdjt,1,Q528428,American actor and United States naval officer (1909-2000)
Mithun Chakraborty,1129,M,1950-06-16,/m/0bpjh3,/m/04c636,2,Q379604,Indian politician and film actor
Shakti Kapoor,969,M,1958-09-03,/m/0dryh9k,/m/05yvfd,2,Q312789,Indian film actor
Amitabh Bachchan,957,M,1942-10-11,/m/0583cz,/m/0tj9,2,Q9570,Indian actor
Dharmendra Deol,801,M,1935-12-08,,/m/02n1gr,2,Q379157,Indian actor and politician
Anupam Kher,786,M,1955-03-07,/m/023mqw,/m/0292l3,2,Q560163,"Indian fim actor, producer, director and teacher"
Amrish Puri,702,M,1932-06-22,/m/0dryh9k,/m/01k6nm,2,Q333443,Indian actor (1932-2005)
Paresh Rawal,695,M,1950-05-30,/m/0g0x7_,/m/07yw6t,2,Q3123705,Indian actor and politician
Prem Chopra,683,M,1935-09-23,,/m/03fw60,2,Q3401588,Indian actor
Asrani,650,M,1941-01-01,/m/029f2r,/m/0969vz,2,Q3595129,Indian actor
Pran Sikhand,646,M,1920-02-12,/m/0dryh9k,/m/05nw9m,2,Q3111264,Indian actor
Madan Puri,644,M,1915,,/m/0cm19f,2,Q12445067,Indian actor
Sanjay Dutt,585,M,1959-07-29,/m/0dryh9k,/m/03m2fg,2,Q310867,Indian actor and politician
Kader Khan,574,M,1935-10-22,/m/0dryh9k,/m/0894_x,2,Q3191765,"Indian-Canadian film actor, script and dialogue writer"
Aruna Irani,554,F,1952-05-03,/m/0bymc,/m/090gk3,2,Q158225,Indian actress
Johnny Lever,512,M,1950-01-07,/m/0dryh9k,/m/07rn0z,2,Q983571,Indian actor
Rajpal Yadav,499,M,1971-03-16,,/m/05qtcv,2,Q3496304,Indian film actor
Akshay Kumar,470,M,1967-09-09,/m/0dryh9k,/m/02tq2r,2,Q233748,Indian-born naturalised Canadian actor and producer (born 1967)
Gulshan Grover,464,M,1955-09-21,/m/0dryh9k,/m/08624h,2,Q3489680,Indian film actor and producer
Rajesh Khanna,464,M,1942-12-29,/m/0dryh9k,/m/061zc_,2,Q107130,Indian actor (1942–2012)
Hema Malini,459,F,1948-10-16,/m/0dryh9k,/m/02n1p5,2,Q874745,the covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine
Rekha Ganesan,453,F,1954-10-10,/m/0dryh9k,/m/06wvfq,2,Q465826,Indian actress
Jeetendra,444,M,1942-04-07,/m/0dryh9k,/m/043cl9,2,Q1686232,actor from India
Ashok Kumar,413,M,1911-10-13,/m/02y_9mh,/m/03f22dp,2,Q3899724,Indian actor
Suniel Shetty,403,M,1961-08-11,,/m/044prt,2,Q983043,Indian actor and film producer
Iftekhar,402,M,1922,/m/0dryh9k,/m/02qnk5c,2,Q1647814,Indian actor
Om Puri,394,M,1950-10-18,,/m/044ptm,2,Q80309,Indian actor
Shashi Kapoor,380,M,1938-03-18,,/m/01n8_g,2,Q239522,Dutch writer (1911-1995)
Jackie Shroff,374,M,1957-02-01,/m/0dryh9k,/m/05wdgq,2,Q560178,Indian film actor
Anil Kapoor,360,M,1959-12-24,,/m/03j367r,2,Q313956,Indian actor
Salman Khan,357,M,1965-12-27,/m/0dryh9k,/m/01s0l0,2,Q9543,"Indian film actor, producer, playback singer and television personality"
Govinda,343,M,1963-12-21,/m/0dryh9k,/m/05_zc7,2,Q1992008,Indian actor and politician
Rishi Kapoor,321,M,1952-09-04,/m/02sch9,/m/03f02ct,2,Q258820,Indian film actor (1951-2020)
Naseeruddin Shah,318,M,1950-07-20,/m/0dryh9k,/m/087z12,2,Q469945,Indian actor and director
Ajay Devgan,317,M,1969-04-02,/m/0dryh9k,/m/044pqn,2,Q146929,"Indian film actor, director and producer"
Amjad Khan,303,M,1940-11-12,/m/0dryh9k,/m/045n3p,2,Q46392,Indian actor (1940-1992)
Vinod Khanna,296,M,1946-10-06,/m/0dryh9k,/m/08d6bd,2,Q2038656,"Indian actor, director, politician"
Ranjeet,292,M,,,/m/02qnhk1,2,,
Shahrukh Khan,287,M,1965-11-02,/m/09743,/m/01zh29,2,Q9535,"Indian actor, producer and television personality"
Sanjeev Kumar,286,M,1938-07-09,/m/0g0x7_,/m/02jxsq,2,Q1974722,accomplished Indian film actor (1938-1985)
Manmohan,275,M,,,/m/0gcx730,2,Q20972639,Indian actor
Om Shivpuri,272,M,1937,/m/0dryh9k,/m/027lfrs,2,Q7089367,Indian actor
Mukri,268,M,1922-01-05,/m/0dryh9k,/m/0k0q8q,2,Q6933583,Indian actor
Dalip Tahil,268,M,1952-10-30,/m/0dryh9k,/m/0fg_hg,2,Q3012414,Indian actor
Danny Denzongpa,264,M,1948-02-25,/m/052r3t,/m/081hvm,2,Q575917,Indian actor
Farida Jalal,262,F,1949-03-14,,/m/0cb1ky,2,Q157803,Indian actress
Jagdeep,248,M,,/m/0dryh9k,/m/0cfywh,2,Q6122272,Indian actor (1939-2020)
Shatrughan Sinha,244,M,1945-12-09,/m/0cm7w1,/m/038b_x,2,Q3595242,Indian actor and politician
Kulbhushan Kharbanda,236,M,1944-10-21,/m/0dryh9k,/m/07jmnh,2,Q677439,Indian actor
Nirupa Roy,232,F,1931-01-04,/m/0dryh9k,/m/04328m,2,Q2763244,Indian actress
Helen,228,F,1939-11-21,,/m/070c93,2,Q467223,Indian film actress and dancer of Anglo-Burmese descent
Raakhee Gulzar,225,F,1947-08-15,,/m/05zdk2,2,Q3196775,Indian actress
Boman Irani,224,M,1959-12-02,/m/0bymc,/m/0bxy67,2,Q834338,Indian actor and voice actor
Raj Babbar,223,M,1952-06-23,/m/0dryh9k,/m/07t3x8,2,Q3595480,Indian actor and politician
Achala Sachdev,217,F,1920-05-03,,/m/02x02kb,2,Q4673430,Indian actress (1920-2012)
Sunny Deol,214,M,1956-10-19,/m/0dryh9k,/m/03vrnh,2,Q944546,Indian actor and politician
Vinod Mehra,207,M,1945-02-13,/m/0dryh9k,/m/0d5trf,2,Q7932741,Indian actor (1945-1990)
Abhishek Bachchan,207,M,1976-02-05,/m/0dryh9k,/m/02wyc0,2,Q187058,Indian actor
Shabana Azmi,198,F,1950-09-18,,/m/02c_wc,2,Q465863,Indian actress
Bindu,195,F,1951-01-17,/m/0dryh9k,/m/08vpjv,2,Q158266,Indian actress
Satish Shah,190,M,1951-06-25,/m/0dryh9k,/m/08y7b9,2,Q1612623,Indian actor famous for humorous and serious roles.
Kareena Kapoor,187,F,1980-09-21,/m/02sch9,/m/02756j,2,Q184885,Indian actress
Dhumal,184,M,,,/m/0gbzgw3,2,Q15649841,Indian actor
Zeenat Aman,182,F,1951-11-19,,/m/03xdxv,2,Q184411,Bollywood actress
Sridevi Kapoor,180,F,1963-08-13,,/m/067jsf,2,Q270691,Indian actress (1963-2018)
Sharat Saxena,178,M,1950-08-17,/m/0dryh9k,/m/02wxvtv,2,Q7489431,Indian actor
Juhi Chawla,176,F,1967-11-13,/m/02sch9,/m/047jhq,2,Q158745,Indian actress
Satyendra Kapoor,176,M,1931,/m/0dryh9k,/m/03cprft,2,Q266137,Indian actor (1931-2007)
Shammi Kapoor,173,M,1931-10-21,/m/0dryh9k,/m/02vmzp,2,Q334822,Indian actor (1930-2011)
Suresh Oberoi,172,M,1946-12-17,/m/0dryh9k,/m/03d6wsd,2,Q3595455,Indian actor
Premnath,171,M,1926-11-21,/m/0dryh9k,/m/0b5x23,2,Q332428,having a body mass index of 25.0–29.9 kg/m2
Madhuri Dixit,168,F,1967-05-15,/m/0cqgdq,/m/01wttr1,2,Q232451,Indian actress
Reena Roy,165,F,1957-01-07,,/m/0266d2k,2,Q157901,Indian actress
Deven Verma,164,M,,,/m/07jmgz,2,Q5266851,Indian actor
Kiran Kumar,163,M,,/m/023mqw,/m/026j4y9,2,Q6414811,Indian actor
Moushumi Chatterjee,160,F,1953-04-26,/m/0fqp6zk,/m/0k1rsd,2,Q2723357,Indian actress
Mohnish Behl,159,M,1961-08-14,/m/0dryh9k,/m/08kp57,2,Q3626525,Indian actor
Himani Shivpuri,159,F,1960,/m/0747611,/m/0ddfph,2,Q3785692,Indian actress
Shreeram Lagoo,158,M,1927-11-16,/m/0cqgdq,/m/0265z9l,2,Q3634256,Indian actor
Neetu Singh,156,F,1958-07-08,/m/078vc,/m/04s96s,2,Q12069158,"Indian actress, born 1958"
Sunil Dutt,155,M,1929-06-06,/m/0dryh9k,/m/02xgdv,2,Q377903,Hindi film actor
A.K Hangal,153,M,1917-02-01,/m/023mqw,/m/04hqbbz,2,Q3595806,Indian actor
Mumtaz,152,F,1947-07-31,/m/04nrnz,/m/06s6xv,2,Q3111131,Indian film actress
Mehmood,148,M,1932-09-29,/m/0dryh9k,/m/03hfxx,2,Q355748,Indian actor
Karisma Kapoor,148,F,1974-06-25,/m/0dryh9k,/m/02ctyy,2,Q464578,Indian actress
Lara Dutta,142,F,1978-04-16,,/m/038x5v,2,Q290438,Miss Universe 2000
Raveena Tandon,140,F,1974-10-26,/m/0dryh9k,/m/03t8_m,2,Q729850,American botanist (1898-1960)
Dev Anand,138,M,1923-09-26,/m/0bs7l_v,/m/0239zv,2,Q320115,"Indian actor, producer, director"
Riteish Deshmukh,137,M,1978-12-17,,/m/07c90c,2,Q738291,Indian actor
Dimple Kapadia,135,F,1957-06-08,/m/0g0x7_,/m/04rs6k,2,Q158558,Indian actress
Rati Agnihotri,135,F,1960-12-10,/m/02sch9,/m/06btk1,2,Q2575841,Indian actress
Alok Nath,134,M,1956-07-10,/m/0dryh9k,/m/0276g40,2,Q2839215,Indian actor
Shashi Kiran,132,M,,/m/0dryh9k,/m/0gbxvv5,2,,
Arjun Rampal,132,M,1972-11-26,,/m/03t8v3,2,Q442668,"Indian film actor, producer, model and television host"
Waheeda Rehman,131,F,1936-05-14,/m/04y29,/m/07f0tw,2,Q465859,Indian actress
Om Prakash,131,M,1919-12-19,,/m/0cct7p,2,Q7089349,Indian actor
Saif Ali Khan,131,M,1970-08-16,/m/0bpjh3,/m/05g3ss,2,Q252290,Indian film actor and producer
Rani Mukerji,130,F,1978-03-21,/m/02y_9mh,/m/01zp33,2,Q485557,Indian film actress
Meenakshi Seshadri,129,F,1963-11-16,/m/0dryh9k,/m/090x7d,2,Q3595278,"Indian film actress, model and dancer"
Rajendra Nath,127,M,1931,,/m/0cfz_z,2,Q3417981,Indian actor (1931-2008)
Jaya Prada,125,F,1962-04-03,,/m/099s4z,2,Q3518383,Indian Actress and politician
Smita Patil,124,F,1955-10-17,/m/0cqgdq,/m/07hpqm,2,Q467960,Indian actress (1955-1986)
Utpal Dutt,124,M,1929-03-29,/m/0bpjh3,/m/06gn7r,2,Q2723876,"Indian actor, director, and writer-playwright"
Indrani Mukherjee,122,F,,/m/0dryh9k,/m/0gdkxkf,2,Q12415694,Indian actress
Poonam Dhillon,120,F,1962-04-18,,/m/08t776,2,Q3595934,Indian actress
Sharmila Tagore,120,F,1946-12-08,/m/0dryh9k,/m/045hz5,2,Q465830,Indian actress
Priyanka Chopra,118,F,1982-07-18,/m/02sch9,/m/03fwln,2,Q158957,"Indian actress, model and singer (born 1982)"
Parveen Babi,118,F,1949-04-04,/m/0dryh9k,/m/0503zz,2,Q467213,Indian actress
Ajit Khan,117,M,1922-01-27,,/m/073rkm,2,Q4699783,Indian actor
Raza Murad,116,M,1955-07-02,,/m/03d63lb,2,Q7299451,Indian actor
Lalita Pawar,114,F,1916-04-18,/m/0dryh9k,/m/0kt64b,2,Q6480391,Indian actress
Manisha Koirala,113,F,1970-08-16,/m/04jq32s,/m/01zt10,2,Q186606,Nepalese actress (born 1970)
Bobby Deol,109,M,1967-01-27,/m/0fng3k,/m/040wdl,2,Q48619,Indian actor
Arshad Warsi,106,M,1968-04-19,/m/0dryh9k,/m/05wdcz,2,Q704859,Indian actor
Ratan Gaurang,102,M,,,/m/0gdkfr0,2,Q992674,German actress
Neha Dhupia,102,F,1980-08-27,/m/0dryh9k,/m/03khrl,2,Q3494299,Indian actress
Rajendra Kumar,102,M,1929-07-20,/m/02sch9,/m/08q9qx,2,Q3632712,Indian actor
Asha Parekh,101,F,1942-10-02,/m/0g0x7_,/m/090gpr,2,Q3595311,Indian actress
Rakesh Roshan,100,M,1949-09-06,/m/0583cz,/m/04qp06,2,Q1373377,Indian film director and producer
Dina Pathak,100,F,1922-03-04,/m/0dryh9k,/m/087_wh,2,Q5277861,Indian actress (1922-2002)
Jeevan,100,M,1975-07-07,,/m/0d80tn,2,Q6063160,Indian actor
Urmila Matondkar,100,F,1974-02-04,/m/0cqgdq,/m/04y0yc,2,Q2017182,Indian actress
Pinchoo Kapoor,99,M,,/m/0dryh9k,/m/047m111,2,Q7194939,Indian actor
Tanuja Samarth,98,F,1943-09-23,/m/0dryh9k,/m/07tcjt,2,Q146724,Indian film actress
Dia Mirza,98,F,1981-12-09,/m/0dryh9k,/m/03khs_,2,Q466080,Indian model and actress
Johnny Walker,98,M,1923-11-11,/m/0dryh9k,/m/07l4kn,2,Q3182985,Indian actor
Yashpal Sharma,97,M,1967-01-01,/m/0dryh9k,/m/0fwfxv,2,Q8049765,Indian actor
Preity Zinta,97,F,1975-01-31,,/m/025p38,2,Q938,chemical element with symbol Sr and atomic number 38
Sarika,96,F,1962-06-03,/m/0dryh9k,/m/0280xl6,2,Q3595187,Indian actress
Bipasha Basu,92,F,1979-01-07,/m/0fqp6zk,/m/04y0hj,2,Q158214,Indian actress and model
Padmini Kolhapure,91,F,1965-11-01,,/m/03f1zb5,2,Q3595902,Indian actress
Tabu,91,F,1971-11-04,/m/0dryh9k,/m/03x31g,2,Q158233,Indian actress
Saeed Jaffrey,90,M,1929-01-08,/m/02sch9,/m/05d7rk,2,Q979990,Indian actor (1929-2015)
Polson,90,M,,/m/0dryh9k,/m/0gc6fr4,2,Q156591,Israel's official memorial to the Jewish victims of the Holocaust
Manoj Kumar,90,M,1937-07-24,,/m/08hhm6,2,Q2341602,Indian actor
Mohan Choti,89,M,,,/m/0cr7q2b,2,Q12448010,Indian actor
Sadashiv Amrapurkar,89,M,1962-01-02,,/m/02ryxjl,2,Q7397582,Indian actor (1950-2014)
Govind Namdeo,88,M,,,/m/04n6t55,2,Q11985045,Film and television actor from India
Kajol,85,F,1974-08-05,/m/0bpjh3,/m/0241wg,2,Q147395,Indian film actress
Dilip Kumar,85,M,1922-12-11,/m/09743,/m/023sng,2,Q377789,Indian actor and politician
Reema Lagoo,84,F,1958,,/m/0dnr7x,2,Q2341578,Indian actress
John Abraham,83,M,1972-12-17,/m/0bymc,/m/049m19,2,Q313025,"Indian film actor, producer and model"
