Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id
Delores Taylor,3,F,1935,,/m/04fzy5h,1,Q5254342
Robert Benchley,3,M,1889-09-15,,/m/03gph9,1,Q1790472
Kim Hunter,3,F,1922-11-12,,/m/01574b,1,Q59824
Joe Sawyer,3,M,1906-08-29,,/m/02x2pp8,1,Q460968
John Davidson,3,M,1886-12-25,,/m/03gtth9,1,Q3181327
Henry Wilcoxon,3,M,1905-09-08,,/m/014g8p,1,Q1372180
Dayton Lummis,3,M,1903-08-08,,/m/05q7xzg,1,Q5243551
Marshall Thompson,3,M,1925-11-27,,/m/08y0rb,1,Q560770
Clarence Wilson,3,M,1876-11-17,,/m/05bh248,1,Q2975587
Mel Ferrer,3,M,1917-08-25,/m/04dbw3,/m/05grdr,1,Q333475
Michael Hurst,3,M,1957-09-20,,/m/05b_9t,1,Q250041
Mary Brian,3,F,1906-02-17,,/m/07x895,1,Q444492
Harold Gould,3,M,1923-12-10,,/m/076689,1,Q954950
Verree Teasdale,3,F,1903-03-15,,/m/047dp2j,1,Q3556073
Edmund Lowe,3,M,1890-03-03,,/m/0f0zn1,1,Q758
Parley Baer,3,M,1914-08-05,,/m/06s0lj,1,Q973490
Arthur Hoyt,3,M,1874-03-19,,/m/07w_zl,1,Q1421566
Hooper Atchley,3,M,1887-04-30,,/m/04n3_6w,1,Q5898350
Perry Lopez,3,M,1931-07-22,,/m/02z5bft,1,Q259151
Boothe Howard,3,M,1890-10-02,,/m/0gdk2c5,1,Q712353
Lotus Long,3,F,1909-07-18,,/m/09v380h,1,Q6685181
Hannah Jones,3,F,,,/m/0bv_pdc,1,
Ethel Merman,3,F,1908-01-16,,/m/0pkw7,1,Q129087
Claire Windsor,3,F,1892-04-14,,/m/06z41w,1,Q339669
Dorothy Patrick,3,F,1921-06-03,,/m/09vx5h,1,Q3037180
Lorraine Gary,3,F,1937-08-16,,/m/074rn6,1,Q266942
Evelyn Brent,3,F,1901-10-20,,/m/03q92v,1,Q31221
Nils Asther,3,M,1897-01-17,,/m/0cz73l,1,Q722861
Ronnie Schell,3,M,1931-12-23,,/m/03rt93,1,Q5852710
George Cleveland,3,M,1885-09-17,,/m/02x4218,1,Q3101495
"Douglas Fairbanks, Jr.",3,M,1909-12-09,,/m/01hdjt,1,Q528428
Mithun Chakraborty,1129,M,1950-06-16,/m/0bpjh3,/m/04c636,2,Q379604
Shakti Kapoor,969,M,1958-09-03,/m/0dryh9k,/m/05yvfd,2,Q312789
Amitabh Bachchan,957,M,1942-10-11,/m/0583cz,/m/0tj9,2,Q9570
Dharmendra Deol,801,M,1935-12-08,,/m/02n1gr,2,Q379157
Anupam Kher,786,M,1955-03-07,/m/023mqw,/m/0292l3,2,Q560163
Amrish Puri,702,M,1932-06-22,/m/0dryh9k,/m/01k6nm,2,Q333443
Paresh Rawal,695,M,1950-05-30,/m/0g0x7_,/m/07yw6t,2,Q3123705
Prem Chopra,683,M,1935-09-23,,/m/03fw60,2,Q3401588
Asrani,650,M,1941-01-01,/m/029f2r,/m/0969vz,2,Q3595129
Pran Sikhand,646,M,1920-02-12,/m/0dryh9k,/m/05nw9m,2,Q3111264
Madan Puri,644,M,1915,,/m/0cm19f,2,Q12445067
Sanjay Dutt,585,M,1959-07-29,/m/0dryh9k,/m/03m2fg,2,Q310867
Kader Khan,574,M,1935-10-22,/m/0dryh9k,/m/0894_x,2,Q3191765
Aruna Irani,554,F,1952-05-03,/m/0bymc,/m/090gk3,2,Q158225
Johnny Lever,512,M,1950-01-07,/m/0dryh9k,/m/07rn0z,2,Q983571
Rajpal Yadav,499,M,1971-03-16,,/m/05qtcv,2,Q3496304
Akshay Kumar,470,M,1967-09-09,/m/0dryh9k,/m/02tq2r,2,Q233748
Gulshan Grover,464,M,1955-09-21,/m/0dryh9k,/m/08624h,2,Q3489680
Rajesh Khanna,464,M,1942-12-29,/m/0dryh9k,/m/061zc_,2,Q107130
Hema Malini,459,F,1948-10-16,/m/0dryh9k,/m/02n1p5,2,Q874745
Rekha Ganesan,453,F,1954-10-10,/m/0dryh9k,/m/06wvfq,2,Q465826
Jeetendra,444,M,1942-04-07,/m/0dryh9k,/m/043cl9,2,Q1686232
Ashok Kumar,413,M,1911-10-13,/m/02y_9mh,/m/03f22dp,2,Q3899724
Suniel Shetty,403,M,1961-08-11,,/m/044prt,2,Q983043
Iftekhar,402,M,1922,/m/0dryh9k,/m/02qnk5c,2,Q1647814
Om Puri,394,M,1950-10-18,,/m/044ptm,2,Q80309
Shashi Kapoor,380,M,1938-03-18,,/m/01n8_g,2,Q239522
Jackie Shroff,374,M,1957-02-01,/m/0dryh9k,/m/05wdgq,2,Q560178
Anil Kapoor,360,M,1959-12-24,,/m/03j367r,2,Q313956
Salman Khan,357,M,1965-12-27,/m/0dryh9k,/m/01s0l0,2,Q9543
Govinda,343,M,1963-12-21,/m/0dryh9k,/m/05_zc7,2,Q1992008
Rishi Kapoor,321,M,1952-09-04,/m/02sch9,/m/03f02ct,2,Q258820
Naseeruddin Shah,318,M,1950-07-20,/m/0dryh9k,/m/087z12,2,Q469945
Ajay Devgan,317,M,1969-04-02,/m/0dryh9k,/m/044pqn,2,Q146929
Amjad Khan,303,M,1940-11-12,/m/0dryh9k,/m/045n3p,2,Q46392
Vinod Khanna,296,M,1946-10-06,/m/0dryh9k,/m/08d6bd,2,Q2038656
Ranjeet,292,M,,,/m/02qnhk1,2,
Shahrukh Khan,287,M,1965-11-02,/m/09743,/m/01zh29,2,Q9535
Sanjeev Kumar,286,M,1938-07-09,/m/0g0x7_,/m/02jxsq,2,Q1974722
Manmohan,275,M,,,/m/0gcx730,2,Q20972639
Om Shivpuri,272,M,1937,/m/0dryh9k,/m/027lfrs,2,Q7089367
Mukri,268,M,1922-01-05,/m/0dryh9k,/m/0k0q8q,2,Q6933583
Dalip Tahil,268,M,1952-10-30,/m/0dryh9k,/m/0fg_hg,2,Q3012414
Danny Denzongpa,264,M,1948-02-25,/m/052r3t,/m/081hvm,2,Q575917
Farida Jalal,262,F,1949-03-14,,/m/0cb1ky,2,Q157803
Jagdeep,248,M,,/m/0dryh9k,/m/0cfywh,2,Q6122272
Shatrughan Sinha,244,M,1945-12-09,/m/0cm7w1,/m/038b_x,2,Q3595242
Kulbhushan Kharbanda,236,M,1944-10-21,/m/0dryh9k,/m/07jmnh,2,Q677439
Nirupa Roy,232,F,1931-01-04,/m/0dryh9k,/m/04328m,2,Q2763244
Helen,228,F,1939-11-21,,/m/070c93,2,Q467223
Raakhee Gulzar,225,F,1947-08-15,,/m/05zdk2,2,Q3196775
Boman Irani,224,M,1959-12-02,/m/0bymc,/m/0bxy67,2,Q834338
Raj Babbar,223,M,1952-06-23,/m/0dryh9k,/m/07t3x8,2,Q3595480
Achala Sachdev,217,F,1920-05-03,,/m/02x02kb,2,Q4673430
Sunny Deol,214,M,1956-10-19,/m/0dryh9k,/m/03vrnh,2,Q944546
Vinod Mehra,207,M,1945-02-13,/m/0dryh9k,/m/0d5trf,2,Q7932741
Abhishek Bachchan,207,M,1976-02-05,/m/0dryh9k,/m/02wyc0,2,Q187058
Shabana Azmi,198,F,1950-09-18,,/m/02c_wc,2,Q465863
Bindu,195,F,1951-01-17,/m/0dryh9k,/m/08vpjv,2,Q158266
Satish Shah,190,M,1951-06-25,/m/0dryh9k,/m/08y7b9,2,Q1612623
Kareena Kapoor,187,F,1980-09-21,/m/02sch9,/m/02756j,2,Q184885
Dhumal,184,M,,,/m/0gbzgw3,2,Q15649841
Zeenat Aman,182,F,1951-11-19,,/m/03xdxv,2,Q184411
Sridevi Kapoor,180,F,1963-08-13,,/m/067jsf,2,Q270691
Sharat Saxena,178,M,1950-08-17,/m/0dryh9k,/m/02wxvtv,2,Q7489431
Juhi Chawla,176,F,1967-11-13,/m/02sch9,/m/047jhq,2,Q158745
Satyendra Kapoor,176,M,1931,/m/0dryh9k,/m/03cprft,2,Q266137
Shammi Kapoor,173,M,1931-10-21,/m/0dryh9k,/m/02vmzp,2,Q334822
Suresh Oberoi,172,M,1946-12-17,/m/0dryh9k,/m/03d6wsd,2,Q3595455
Premnath,171,M,1926-11-21,/m/0dryh9k,/m/0b5x23,2,Q332428
Madhuri Dixit,168,F,1967-05-15,/m/0cqgdq,/m/01wttr1,2,Q232451
Reena Roy,165,F,1957-01-07,,/m/0266d2k,2,Q157901
Deven Verma,164,M,,,/m/07jmgz,2,Q5266851
Kiran Kumar,163,M,,/m/023mqw,/m/026j4y9,2,Q6414811
Moushumi Chatterjee,160,F,1953-04-26,/m/0fqp6zk,/m/0k1rsd,2,Q2723357
Mohnish Behl,159,M,1961-08-14,/m/0dryh9k,/m/08kp57,2,Q3626525
Himani Shivpuri,159,F,1960,/m/0747611,/m/0ddfph,2,Q3785692
Shreeram Lagoo,158,M,1927-11-16,/m/0cqgdq,/m/0265z9l,2,Q3634256
Neetu Singh,156,F,1958-07-08,/m/078vc,/m/04s96s,2,Q12069158
Sunil Dutt,155,M,1929-06-06,/m/0dryh9k,/m/02xgdv,2,Q377903
A.K Hangal,153,M,1917-02-01,/m/023mqw,/m/04hqbbz,2,Q3595806
Mumtaz,152,F,1947-07-31,/m/04nrnz,/m/06s6xv,2,Q3111131
Mehmood,148,M,1932-09-29,/m/0dryh9k,/m/03hfxx,2,Q355748
Karisma Kapoor,148,F,1974-06-25,/m/0dryh9k,/m/02ctyy,2,Q464578
Lara Dutta,142,F,1978-04-16,,/m/038x5v,2,Q290438
Raveena Tandon,140,F,1974-10-26,/m/0dryh9k,/m/03t8_m,2,Q729850
Dev Anand,138,M,1923-09-26,/m/0bs7l_v,/m/0239zv,2,Q320115
Riteish Deshmukh,137,M,1978-12-17,,/m/07c90c,2,Q738291
Dimple Kapadia,135,F,1957-06-08,/m/0g0x7_,/m/04rs6k,2,Q158558
Rati Agnihotri,135,F,1960-12-10,/m/02sch9,/m/06btk1,2,Q2575841
Alok Nath,134,M,1956-07-10,/m/0dryh9k,/m/0276g40,2,Q2839215
Shashi Kiran,132,M,,/m/0dryh9k,/m/0gbxvv5,2,
Arjun Rampal,132,M,1972-11-26,,/m/03t8v3,2,Q442668
Waheeda Rehman,131,F,1936-05-14,/m/04y29,/m/07f0tw,2,Q465859
Om Prakash,131,M,1919-12-19,,/m/0cct7p,2,Q7089349
Saif Ali Khan,131,M,1970-08-16,/m/0bpjh3,/m/05g3ss,2,Q252290
Rani Mukerji,130,F,1978-03-21,/m/02y_9mh,/m/01zp33,2,Q485557
Meenakshi Seshadri,129,F,1963-11-16,/m/0dryh9k,/m/090x7d,2,Q3595278
Rajendra Nath,127,M,1931,,/m/0cfz_z,2,Q3417981
Jaya Prada,125,F,1962-04-03,,/m/099s4z,2,Q3518383
Smita Patil,124,F,1955-10-17,/m/0cqgdq,/m/07hpqm,2,Q467960
Utpal Dutt,124,M,1929-03-29,/m/0bpjh3,/m/06gn7r,2,Q2723876
Indrani Mukherjee,122,F,,/m/0dryh9k,/m/0gdkxkf,2,Q12415694
Poonam Dhillon,120,F,1962-04-18,,/m/08t776,2,Q3595934
Sharmila Tagore,120,F,1946-12-08,/m/0dryh9k,/m/045hz5,2,Q465830
Priyanka Chopra,118,F,1982-07-18,/m/02sch9,/m/03fwln,2,Q158957
Parveen Babi,118,F,1949-04-04,/m/0dryh9k,/m/0503zz,2,Q467213
Ajit Khan,117,M,1922-01-27,,/m/073rkm,2,Q4699783
Raza Murad,116,M,1955-07-02,,/m/03d63lb,2,Q7299451
Lalita Pawar,114,F,1916-04-18,/m/0dryh9k,/m/0kt64b,2,Q6480391
Manisha Koirala,113,F,1970-08-16,/m/04jq32s,/m/01zt10,2,Q186606
Bobby Deol,109,M,1967-01-27,/m/0fng3k,/m/040wdl,2,Q48619
Arshad Warsi,106,M,1968-04-19,/m/0dryh9k,/m/05wdcz,2,Q704859
Ratan Gaurang,102,M,,,/m/0gdkfr0,2,Q992674
Neha Dhupia,102,F,1980-08-27,/m/0dryh9k,/m/03khrl,2,Q3494299
Rajendra Kumar,102,M,1929-07-20,/m/02sch9,/m/08q9qx,2,Q3632712
Asha Parekh,101,F,1942-10-02,/m/0g0x7_,/m/090gpr,2,Q3595311
Rakesh Roshan,100,M,1949-09-06,/m/0583cz,/m/04qp06,2,Q1373377
Dina Pathak,100,F,1922-03-04,/m/0dryh9k,/m/087_wh,2,Q5277861
Jeevan,100,M,1975-07-07,,/m/0d80tn,2,Q6063160
Urmila Matondkar,100,F,1974-02-04,/m/0cqgdq,/m/04y0yc,2,Q2017182
Pinchoo Kapoor,99,M,,/m/0dryh9k,/m/047m111,2,Q7194939
Tanuja Samarth,98,F,1943-09-23,/m/0dryh9k,/m/07tcjt,2,Q146724
Dia Mirza,98,F,1981-12-09,/m/0dryh9k,/m/03khs_,2,Q466080
Johnny Walker,98,M,1923-11-11,/m/0dryh9k,/m/07l4kn,2,Q3182985
Yashpal Sharma,97,M,1967-01-01,/m/0dryh9k,/m/0fwfxv,2,Q8049765
Preity Zinta,97,F,1975-01-31,,/m/025p38,2,Q938
Sarika,96,F,1962-06-03,/m/0dryh9k,/m/0280xl6,2,Q3595187
Bipasha Basu,92,F,1979-01-07,/m/0fqp6zk,/m/04y0hj,2,Q158214
Padmini Kolhapure,91,F,1965-11-01,,/m/03f1zb5,2,Q3595902
Tabu,91,F,1971-11-04,/m/0dryh9k,/m/03x31g,2,Q158233
Saeed Jaffrey,90,M,1929-01-08,/m/02sch9,/m/05d7rk,2,Q979990
Polson,90,M,,/m/0dryh9k,/m/0gc6fr4,2,Q156591
Manoj Kumar,90,M,1937-07-24,,/m/08hhm6,2,Q2341602
Mohan Choti,89,M,,,/m/0cr7q2b,2,Q12448010
Sadashiv Amrapurkar,89,M,1962-01-02,,/m/02ryxjl,2,Q7397582
Govind Namdeo,88,M,,,/m/04n6t55,2,Q11985045
Kajol,85,F,1974-08-05,/m/0bpjh3,/m/0241wg,2,Q147395
Dilip Kumar,85,M,1922-12-11,/m/09743,/m/023sng,2,Q377789
Reema Lagoo,84,F,1958,,/m/0dnr7x,2,Q2341578
John Abraham,83,M,1972-12-17,/m/0bymc,/m/049m19,2,Q313025
Sujit Kumar,83,M,1934-02-07,/m/0dryh9k,/m/03d3gd,2,Q2364052
Aftab Shivdasani,83,M,1978-06-25,/m/0dryh9k,/m/02y_491,2,Q2362968
Manoj Joshi,83,M,1965,,/m/02q3h_p,2,Q12445334
Arbaaz Khan,82,M,1967-08-04,/m/0dryh9k,/m/05wd82,2,Q1203191
Sanjay Mishra,81,M,1963-10-06,/m/0dryh9k,/m/0jx9l6,2,Q7418358
Jaya Bhaduri Bachchan,81,F,1948-04-09,,/m/049468,2,Q464932
Nutan,81,F,1936-06-04,,/m/021zyf,2,Q146444
Kirron Kher,80,F,1955-06-14,/m/0dryh9k,/m/0g4m38,2,Q158136
Shilpa Shetty,80,F,1975-06-08,/m/06j2v,/m/040nwr,2,Q270665
Bharat Bhushan,80,M,1920-06-14,,/m/02vmzb,2,Q4901101
Amrita Singh,79,F,1958-02-09,/m/0dryh9k,/m/07f49g,2,Q2670291
Aditya Pancholi,79,M,1965-09-12,/m/0hbz9xw,/m/0g0tyq,2,Q2824471
Akshaye Khanna,78,M,1975-03-28,/m/0dryh9k,/m/06qxx0,2,Q421581
Paintal,78,M,,/m/0dryh9k,/m/026j5j6,2,Q7124977
Ram Mohan,77,M,,,/m/0k1sn51,2,Q2079
Balraj Sahni,77,M,1913-05-01,/m/02sch9,/m/05w6fq,2,Q805511
Aamir Khan,77,M,1965-03-14,/m/0dllcfn,/m/015npr,2,Q9557
Raaj Kumar,77,M,1926-10-08,/m/0dryh9k,/m/02n5b3,2,Q3763980
Jimmy Shergill,76,M,1970-12-03,/m/0dryh9k,/m/075r_k,2,Q1373345
Saurabh Shukla,76,M,,,/m/026kv8h,2,Q7427518
Hrithik Roshan,75,M,1974-01-10,/m/02sch9,/m/0f5zj6,2,Q483938
Ishaa Koppikar,74,F,1976-09-19,/m/08gzsf,/m/077x14,2,Q466974
Vijay Raaz,74,M,,/m/0dryh9k,/m/0270bv0,2,Q3031096
Kimi Katkar,73,F,1965-12-11,,/m/0cl0js,2,Q6410080
Nana Patekar,72,M,1951-01-01,/m/0cqgdq,/m/03z_g7,2,Q2475741
Ranjeeta Kaur,72,F,1956-09-22,,/m/02qnj9h,2,Q7293124
Mohan Joshi,71,M,,/m/0dryh9k,/m/0cr6dz6,2,Q3630695
Vyjayanthimala,71,F,1936-08-13,/m/01rv7x,/m/0dm652,2,Q467977
Tiku Talsania,70,M,1954-06-07,,/m/0808dpt,2,Q3528409
Chunky Pandey,70,M,1962-09-26,,/m/0fbt2x,2,Q3676086
Shreyas Talpade,69,M,1976-01-27,/m/0dryh9k,/m/0btrvt,2,Q2726196
Supriya Karnik,68,F,,/m/0dryh9k,/m/0fphcdw,2,Q16198893
Parikshat Sahni,68,M,,/m/0dryh9k,/m/026n_xx,2,Q7137104
Shashikala,68,F,1933,/m/0dryh9k,/m/02q99nj,2,Q7490569
Dinesh Hingoo,68,M,,,/m/0gbwr04,2,Q5278078
Anita Raj,68,F,1962-08-13,,/m/03qjbbd,2,Q4765619
Tina Munim,67,F,1957-02-11,/m/0dryh9k,/m/04jr9d,2,Q2721694
Manoj Pahwa,66,M,,,/m/0jsnl2,2,Q16201528
Katrina Kaif,66,F,1984-07-16,/m/03w9bjf,/m/08ch36,2,Q57052
Amisha Patel,65,F,1975-06-09,/m/0dryh9k,/m/040khd,2,Q263819
Shafi Inamdar,65,M,1949,/m/0dryh9k,/m/02w09gx,2,Q7461024
Vivek Oberoi,63,M,1976-09-03,/m/0dryh9k,/m/03w7jt,2,Q731854
Shoma Anand,63,F,1958-02-16,,/m/02q97xt,2,Q7500268
Viju Khote,63,M,,/m/0dryh9k,/m/0flj39,2,Q7929362
Tinnu Anand,62,M,,/m/0dryh9k,/m/064p92m,2,Q7808398
Sushmita Sen,62,F,1975-11-19,/m/0bpjh3,/m/02xhr0,2,Q255076
Asit Sen,62,M,1922,/m/0dryh9k,/m/05b1062,2,Q4807036
Yogeeta Bali,61,F,1952-08-13,/m/0dryh9k,/m/0c9slq,2,Q3765218
Jankidas,61,M,1910,,/m/04g0wt9,2,Q6154824
Randhir Kapoor,61,M,1945-02-15,/m/0dryh9k,/m/09zf1p,2,Q2700318
Keshto Mukherjee,60,M,,/m/0dryh9k,/m/0278gv2,2,Q6395064
Mandakini,59,F,1969-07-30,/m/03w9bjf,/m/0bs530,2,Q337434
Aishwarya Rai,59,F,1973-11-01,/m/0dryh9k,/m/050llt,2,Q47059
Tusshar Kapoor,57,M,1976-11-20,/m/0dryh9k,/m/03t8sd,2,Q2726352
Murad,57,M,1904,/m/0dryh9k,/m/02rg_7h,2,Q6937172
Jaaved Jaffrey,56,M,1963-12-04,/m/0dryh9k,/m/090_4l,2,Q330315
Ranvir Shorey,55,M,1972-08-18,/m/0dryh9k,/m/02x2fvz,2,Q3595440
Raj Kapoor,54,M,1924-12-14,/m/027lf0d,/m/021j72,2,Q55407
Razak Khan,54,M,,/m/0dryh9k,/m/0cr6dzh,2,Q15690007
Feroz Khan,54,M,1939-09-25,/m/0dllcfn,/m/08bqy9,2,Q1058806
Bindiya Goswami,53,F,1962-01-06,/m/0dryh9k,/m/026g3l3,2,Q4914024
K.N. Singh,53,M,1908-09-01,/m/0dryh9k,/m/03bxsk4,2,Q3630194
Rohini Hattangadi,53,F,1955-04-11,/m/0dryh9k,/m/0cld6t,2,Q1606036
Mala Sinha,53,F,1936-11-11,/m/04jq32s,/m/03z_gl,2,Q3633732
Kamini Kaushal,52,F,1927-01-16,,/m/0cdy96,2,Q6358169
Vinay Pathak,52,M,,,/m/03cbfhn,2,Q929422
Rajan Haksar,52,M,,,/m/0gdk2gk,2,
Sushma Seth,51,F,,,/m/02q98x2,2,Q3632832
Sonali Bendre,51,F,1975-01-01,/m/0dryh9k,/m/03j368d,2,Q32342
Nazir Hussain,51,M,,,/m/05c0wz6,2,Q6983479
Kay Kay Menon,51,M,1968-01-01,,/m/0dl54k2,2,Q6380219
Tarun Bose,50,M,1928-09-14,/m/0dryh9k,/m/05b05p_,2,Q7686926
Shahid Kapoor,50,M,1981-02-25,/m/0dryh9k,/m/03zhqs,2,Q319491
Ishrat Ali,50,M,,,/m/0gbyqwr,2,
Neelam,49,F,1968-11-09,/m/0dryh9k,/m/08z_kd,2,Q6986770
Divya Dutta,48,F,1977-09-25,/m/0dryh9k,/m/05xhmh,2,Q467964
Raj Verma,47,M,,,/m/0gch_47,2,Q572754
Esha Deol,47,F,1981-11-02,/m/02sch9,/m/040wjm,2,Q48622
Nanda,46,F,1939-01-08,,/m/0cfwj7,2,Q3595314
Fardeen Khan,46,M,1974-03-08,/m/0dllcfn,/m/04g5nr,2,Q731969
Durga Khote,45,F,1905-01-14,/m/0dryh9k,/m/09zfq_,2,Q3633274
Dino Morea,45,M,1975-12-09,/m/0222qb,/m/08w8g0,2,Q368447
Amrita Arora,45,F,1981-01-31,/m/0dryh9k,/m/08trv2,2,Q292958
D.K. Sapru,45,M,1916-03-16,/m/0dryh9k,/m/0gc97zr,2,
Vidya Balan,44,F,1978-01-01,/m/0cmdl5l,/m/06kl0k,2,Q159166
Sohail Khan,44,M,1970-12-20,/m/0dryh9k,/m/07f37n,2,Q983053
Sameera Reddy,44,F,1982-12-14,/m/0dryh9k,/m/08_6h8,2,Q2723457
Nina Kulkarni,44,F,,/m/0cqgdq,/m/0jsnl8,2,Q6986881
Pradeep Kumar,44,M,1925-01-04,/m/0bpjh3,/m/0cs7r8,2,Q7237409
Raghuvir Yadav,43,M,,/m/0dryh9k,/m/06y_92,2,Q7282998
Aashish Chaudhary,42,M,,/m/0dryh9k,/m/0274f0x,2,Q4662722
Ayesha Jhulka,41,F,1975-07-28,/m/0dryh9k,/m/0cj4kr,2,Q1749634
Sushant Singh,40,M,1969,/m/0222hg,/m/025zsh2,2,Q3633952
Ravindra Kapoor,40,M,,,/m/0gdk871,2,
Abhi Bhattacharya,40,M,1921,,/m/04n4h2l,2,Q4667376
Kurush Deboo,40,M,1963-09-12,/m/0dryh9k,/m/02qq_ww,2,Q6447502
Satish Kaushik,40,M,1956-04-13,/m/0dryh9k,/m/03d8njj,2,Q3121114
Manmohan Krishna,39,M,1937-02-26,,/m/0cvbb9q,2,Q12445270
Rajkiran,39,M,1954-08-26,/m/01rv7x,/m/02q_47r,2,Q7286265
Saira Banu,39,F,1944-08-23,/m/0dryh9k,/m/06n54j,2,Q942959
Amrita Rao,39,F,1981-06-07,/m/0761bp,/m/03rtvc,2,Q299136
Mukesh Tiwari,39,M,,/m/0dryh9k,/m/07k4dx5,2,Q6933441
David Abraham Cheulkar,38,M,1909,/m/04zjjt,/m/0ggxly,2,Q5230578
Mahima Chaudhry,38,F,1973-09-13,/m/0dryh9k,/m/04g5td,2,Q2568389
Dev Kishan,38,M,,/m/0dryh9k,/m/0gc1wb1,2,Q497687
Seema Biswas,38,F,1965-01-14,/m/0dryh9k,/m/0cw9jh,2,Q2576856
Irrfan Khan,38,M,1962-11-30,/m/0462jl6,/m/03m3nzf,2,Q360927
Suresh Menon,38,M,,/m/0dryh9k,/m/047f23v,2,Q3527168
Kabir Bedi,37,M,1946-01-16,/m/02sch9,/m/04b1n,2,Q27985666
Deepti Naval,36,F,1957-02-03,/m/0dryh9k,/m/0d9xq4,2,Q5250658
Rakesh Bedi,36,M,,/m/0dryh9k,/m/06600n_,2,Q7286597
Aarti,36,F,,,/m/0gbxm40,2,Q6013911
Achyut Potdar,36,M,,,/m/0gc4ylj,2,Q4673976
Mansaram,35,M,,/m/0dryh9k,/m/0gdk402,2,Q495377
Bhagwan Dada,35,M,1913-08-01,/m/0dryh9k,/m/0cg0tr,2,Q4900668
Girish Karnad,35,M,1938-05-19,/m/0d9q7j,/m/04ch23,2,Q3518444
Pooja Bhatt,35,F,1972-02-24,/m/0g0x7_,/m/04rr_s,2,Q786469
Sulochana Chatterjee,34,F,,,/m/0gdk17g,2,Q97670104
Jagdish Raj,34,M,1928,,/m/047f9jp,2,Q6122336
Namrata Shirodkar,34,F,1972-01-22,/m/0dryh9k,/m/03t8z1,2,Q579995
Dara Singh,34,M,1928-11-19,/m/0222hg,/m/065xb3,2,Q165816
Sadhana,34,F,1941-09-02,,/m/0cfwz4,2,Q3133978
Raja Duggal,34,M,,,/m/0gdk_pd,2,
Navin Nischol,33,M,1946-03-18,,/m/04_fcc,2,Q112043674
Raj Mehra,33,M,,,/m/0cr7p37,2,Q12449132
Zakir Hussain,33,M,,,/m/0cz88y_,2,Q8065108
Rehman,33,M,1921-06-23,,/m/0cfdbx,2,Q7309808
Ram Sethi,33,M,,,/m/047s9xk,2,Q7288580
Laxmikant Berde,33,M,1954-11-03,/m/0dryh9k,/m/05q7k8,2,Q6505245
Sheetal,33,F,,,/m/0ccbln3,2,
Kanhaiyalal,33,M,,,/m/0gcxl37,2,Q15924272
Celina Jaitley,32,F,1981-11-24,/m/0dryh9k,/m/04g5sn,2,Q292967
Chaman Puri,32,M,,,/m/0gc1hqr,2,Q20771053
Amar,32,M,,,/m/0dj2nf2,2,Q332892
Ashwini Kalsekar,31,F,1970,/m/0cqgdq,/m/04mz0ty,2,Q4806201
Annu Kapoor,31,M,1956-02-20,/m/0dryh9k,/m/02phhc0,2,Q4769639
Supriya Pathak,31,F,1961-01-07,,/m/0b7zz5,2,Q7645142
Makrand Deshpande,31,M,1966-03-06,/m/0dryh9k,/m/0h4pss,2,Q6738761
Pankaj Jha,31,M,,/m/0dryh9k,/m/0bs1d9p,2,Q7131285
Tuntun,30,F,1923-01-01,/m/02sch9,/m/090v7b,2,Q7852779
Meena Kumari,30,F,1932-08-01,,/m/085lpk,2,Q465848
Jeevan Kala,30,F,,,/m/0dj2nfc,2,
Raj Kiran,30,M,1949-02-05,,/m/0gvv6z8,2,Q7285310
Manoj Bajpai,30,M,1969-04-23,,/m/0885_b,2,Q158533
Sonam,30,F,1972-09-02,,/m/0fy2zn,2,Q7560776
Kangana Ranaut,30,F,1987-03-20,/m/0dryh9k,/m/0dhzn5,2,Q2737207
Arun Bali,30,M,,/m/0dryh9k,/m/09v18kq,2,Q4802074
Mac Mohan,29,M,1938-04-24,,/m/0flj84,2,Q6722336
Soni Razdan,29,F,1962-10-25,/m/03w9bjf,/m/04pzp8,2,Q7561678
Rajat Kapoor,29,M,1961,,/m/0fj2sk,2,Q7285873
Zohra Sehgal,28,F,1912-04-27,/m/0665pp,/m/02r_c3x,2,Q143896
Sachin Khedekar,28,M,,,/m/0573tj8,2,Q7396741
Malaika Arora Khan,28,F,1973-08-23,/m/0dryh9k,/m/07f3wn,2,Q290322
Farha Naaz,28,F,1968-12-09,/m/0dryh9k,/m/04mzw77,2,Q5434715
Kamal Chopra,28,M,,,/m/0jt5jn,2,Q203643
Sunder,28,M,,,/m/0hh2zgr,2,Q7639665
Neeta Mehta,28,F,,/m/0dryh9k,/m/0gcjg_9,2,
Zayed Khan,28,M,1980-07-05,/m/0dryh9k,/m/06dzgl,2,Q167829
Rimi Sen,28,F,1981-09-21,/m/0bpjh3,/m/086lpw,2,Q1085037
Mahesh Manjrekar,27,M,1958-08-16,,/m/0bvls5,2,Q3089275
Deepika Padukone,27,F,1986-01-05,/m/0761bp,/m/09k68f,2,Q312
Rajendranath Zutshi,27,M,1961-02-04,/m/023mqw,/m/026m_m0,2,Q6317475
Sudha Chopra,26,F,,,/m/0gdm998,2,
Ayesha Takia,26,F,1986-04-10,,/m/05ydx0,2,Q158450
Kanu Roy,25,M,,,/m/03cmbp8,2,Q6365648
Nazima,25,F,,/m/0dryh9k,/m/09v3c8s,2,Q6983461
