Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description,actor_country_of_citizenship,actor_occupation
Red Buttons,17,M,1919-02-05,/m/041rx,/m/02_k_x,1,Q313198,American comedian and actor (1919-2006),United States of America,"['comedian', 'television actor', 'film actor']"
Maurice Chevalier,16,M,1888-09-12,,/m/01jqtg9,1,Q106001,"French actor, singer and entertainer",France,"['actor', 'singer', 'musician', 'dancer', 'stage actor', 'film actor', 'lyricist', 'chansonnier']"
Gene Lockhart,16,M,1891-07-18,,/m/04qyk7,1,Q1370701,actor (1891-1957),Canada,"['singer', 'music teacher', 'stage actor', 'film actor', 'lyricist', 'composer']"
Tom London,16,M,1889-08-24,,/m/03zrvd,1,Q7816621,American actor (1889-1963),United States of America,['actor']
John Gilbert,16,M,,,/m/0h8km99,1,,,,
Dennis Morgan,16,M,1908-12-20,/m/06mvq,/m/0br9vt,1,Q956920,American actor (1908-1994),United States of America,"['actor', 'singer', 'film actor']"
Patrick Wayne,16,M,1939-07-15,,/m/0990gy,1,Q2001604,American actor,United States of America,"['actor', 'television actor', 'film actor']"
Mae Marsh,16,F,1894-11-09,,/m/0735gw,1,Q153332,American actress,United States of America,"['actor', 'film actor', 'television actor']"
Dawn Wells,16,F,1938-10-18,,/m/03815q,1,Q470007,American actress (1938-2020),United States of America,"['television actor', 'film actor', 'stage actor']"
Josephine Crowell,16,F,1859-01-11,,/m/03c397f,1,Q3138866,actress,Canada,"['actor', 'film actor']"
William Frawley,16,M,1887-02-26,,/m/01m5lf,1,Q1290248,American actor (1887-1966),United States of America,"['television actor', 'singer', 'actor', 'character actor', 'screenwriter', 'film actor', 'stage actor']"
George Raft,16,M,1901-09-26,,/m/033hqf,1,Q436187,American actor,United States of America,"['actor', 'film actor', 'television actor', 'stage actor', 'dancer']"
Fred MacMurray,16,M,1908-08-30,,/m/0ly5n,1,Q356309,American actor and singer (1908-1991),United States of America,"['stage actor', 'television actor', 'film actor', 'film producer']"
Greer Garson,16,F,1904-09-29,/m/07bch9,/m/0h1s0,1,Q182486,British-American actress (1904-1996),United Kingdom,"['actor', 'film actor', 'stage actor', 'television actor']"
Spottiswoode Aitken,16,M,1868-04-16,,/m/0krxq4,1,Q1230515,actor,United Kingdom of Great Britain and Ireland,"['stage actor', 'film actor', 'actor']"
Tyrone Power,16,M,1914-05-05,/m/06v41q,/m/02s58t,1,Q309989,American actor (1914-1958),United States of America,"['actor', 'military officer', 'polo player', 'film actor']"
Robert Mitchum,16,M,1917-08-06,,/m/0m0hw,1,Q16472,American actor (1917-1997),United States of America,"['actor', 'singer', 'screenwriter', 'film actor', 'songwriter', 'television actor']"
Joan Leslie,16,F,1925-01-26,,/m/056jp0,1,Q260318,American actress (1925-2015),United States of America,"['actor', 'film actor', 'television actor']"
Warren Oates,16,M,1928-07-05,,/m/049tcm,1,Q709133,american actor (1928-1982),United States of America,"['film actor', 'rancher', 'television actor', 'stage actor']"
Bruce Cabot,15,M,1904-04-20,,/m/0445xn,1,Q373500,actor (1904-1972),United States of America,"['actor', 'television actor', 'film actor']"
Grant Mitchell,15,M,1874-06-17,,/m/03c35wj,1,Q3115403,American actor (1874-1957),United States of America,"['actor', 'stage actor', 'film actor']"
George Zucco,15,M,1886-01-11,,/m/0dnp29,1,Q1508673,actor (1886-1960),United Kingdom,"['stage actor', 'film actor', 'theatrical director']"
Keye Luke,15,M,1904-06-18,,/m/01y2rq,1,Q609316,American actor (1904-1991),United States of America,"['architect', 'painter', 'stage actor', 'film actor', 'voice actor', 'television actor']"
Van Heflin,15,M,1910-12-13,,/m/03bggl,1,Q350678,actor (1908-1971),United States of America,"['character actor', 'stage actor', 'film actor']"
Virginia Grey,15,F,1917-03-22,,/m/03lmwp,1,Q273118,American actress (1917-2004),United States of America,"['actor', 'screenwriter', 'television actor', 'film actor']"
Ava Gardner,15,F,1922-12-24,/m/09lz9zx,/m/0btyl,1,Q164487,American actress (1922–1990),United States of America,"['actor', 'model', 'autobiographer', 'film actor', 'television actor']"
Paul Harvey,15,M,1882-09-10,,/m/03csbls,1,Q3371436,American actor,United States of America,['film actor']
Fay Wray,15,F,1907-09-15,,/m/02ysx,1,Q266694,actress (1907-2004),Canada,"['film actor', 'actor', 'television actor']"
Hugh Herbert,15,M,1887-08-10,,/m/0f45yl,1,Q613705,"Comedian, film actor",United States of America,"['actor', 'screenwriter', 'film actor', 'film director']"
"Alan Hale, Jr.",15,M,1921-03-08,,/m/02qn4z,1,Q640093,American actor,United States of America,"['television actor', 'film actor', 'restaurateur', 'character actor', 'stage actor', 'actor']"
Robert Warwick,15,M,1878-10-09,,/m/07mw50,1,Q555672,actor (1878-1964),United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Jill Ireland,15,F,1936-04-24,,/m/05vy5j,1,Q175571,English actress (1936–1990),United Kingdom,"['film actor', 'actor', 'autobiographer']"
Katharine Hepburn,15,F,1907-05-12,,/m/0bw87,1,Q56016,American actress (1907-2003),United States of America,"['film actor', 'autobiographer', 'stage actor', 'television actor', 'actor']"
Martha Raye,15,F,1916-08-27,,/m/01ppr7_,1,Q435236,American comic actress and singer (1916-1994),United States of America,"['actor', 'singer', 'stage actor', 'television actor', 'film actor']"
James Gleason,15,M,1882-05-23,,/m/04x9b0,1,Q726398,American actor (1882-1959),United States of America,"['screenwriter', 'stage actor', 'film actor', 'television actor', 'playwright', 'film producer', 'film director', 'actor']"
Natalie Schafer,15,F,1900-11-05,,/m/02g_b8,1,Q254588,American actress (1900-1991),United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Russell Johnson,15,M,1924-11-10,,/m/03scp0,1,Q1387828,American television and film actor,United States of America,"['television actor', 'film actor']"
Raymond Massey,15,M,1896-08-30,,/m/012j5h,1,Q531461,canadian-american actor (1896-1983),Canada,"['actor', 'screenwriter', 'film actor', 'stage actor']"
Lena Horne,15,F,1917-06-30,/m/0x67,/m/01n44c,1,Q112307,"American singer, actress, civil rights activist and dancer (1917-2010)",United States of America,"['actor', 'dancer', 'jazz musician', 'pin-up girl', 'musician', 'singer', 'stage actor', 'television actor', 'film actor', 'recording artist']"
Warner Oland,15,M,1879-10-03,,/m/0447ft,1,Q23957,Swedish American actor (1879-1938),United States of America,"['actor', 'film actor', 'stage actor', 'translator']"
John Hoyt,14,M,1905-10-05,,/m/081z2l,1,Q1700513,"1905–1991; American film, stage, and television actor",United States of America,"['screenwriter', 'teacher', 'stage actor', 'film actor', 'television actor', 'film producer', 'actor']"
Joey Zimmerman,14,M,1986-06-10,/m/041rx,/m/061wbb,1,Q328921,American actor,United States of America,"['stage actor', 'film actor', 'television actor', 'film director']"
Johnny Sheffield,14,M,1931-04-11,,/m/0310rp,1,Q962024,American actor (1931-2010),United States of America,"['actor', 'film actor']"
Pat Brady,14,M,1914-12-31,,/m/05zbj9,1,Q7143236,American actor (1914-1972),United States of America,"['actor', 'television actor']"
Frankie Darro,14,M,1917-12-22,,/m/06b2ht,1,Q1445069,actor (1917-1976),United States of America,"['actor', 'film actor', 'voice actor']"
Judith Hoag,14,F,1968-06-29,,/m/0d4zb6,1,Q271866,US actress,United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Ruby Keeler,14,F,1910-08-25,,/m/019wrj,1,Q272092,"American actress, dancer, and singer (1910-1993)",United States of America,"['actor', 'singer', 'dancer', 'film actor', 'television actor', 'stage actor']"
Richard Bakalyan,14,M,1931-01-29,,/m/02pj61d,1,Q3550929,American actor (1931-2015),United States of America,"['actor', 'television actor', 'voice actor']"
Jay C. Flippen,14,M,1899-03-06,,/m/06plnr,1,Q330847,American actor (1899-1971),United States of America,"['singer', 'radio personality', 'stage actor', 'film actor', 'television actor', 'actor']"
Gordon MacRae,13,M,1921-03-12,,/m/01m2gwz,1,Q1153004,"American actor, singer (1921-1986)",United States of America,"['actor', 'singer', 'stage actor', 'film actor', 'television actor']"
Billy De Wolfe,13,M,1907-02-18,,/m/0279f4k,1,Q4912445,American actor (1907-1974),United States of America,"['actor', 'television actor', 'voice actor']"
Veronica Lake,13,F,1922-11-14,/m/033tf_,/m/01xm6k,1,Q84232,American actress (1922–1973),United States of America,"['actor', 'aircraft pilot', 'stage actor', 'television actor', 'model', 'film actor']"
Sally Payne,13,F,1912-09-05,,/m/043ntqz,1,Q7405250,American actress (1912-1999),United States of America,"['actor', 'stage actor', 'film actor']"
Steve McQueen,13,M,1930-03-24,/m/07bch9,/m/012cj0,1,Q159347,American actor (1930–1980),United States of America,"['actor', 'film actor', 'motorcycle rider', 'racing automobile driver', 'television actor', 'stage actor']"
Charles Drake,13,M,1917-10-02,,/m/02w8sd,1,Q957063,American actor (1917-1994),United States of America,"['actor', 'television actor', 'stage actor', 'film actor']"
Arthur Kennedy,13,M,1914-02-17,,/m/014kg4,1,Q351838,American stage and film actor (1914-1990),United States of America,"['stage actor', 'film actor', 'actor', 'television actor']"
Edmund Gwenn,13,M,1877-09-26,,/m/03bpcj,1,Q344750,British actor,United Kingdom,"['film actor', 'stage actor']"
Billy Barty,13,M,1924-10-25,,/m/02y3dh,1,Q716319,American film actor (1924-2000),United States of America,"['stage actor', 'film actor', 'television actor', 'voice actor', 'actor']"
Raymond Walburn,13,M,1887-09-09,,/m/0f_6zq,1,Q262373,actor (1887-1969),United States of America,"['actor', 'film actor']"
Elsa Lanchester,13,F,1902-10-28,,/m/015g36,1,Q233009,British-American actress (1902–1986),United Kingdom,"['stage actor', 'film actor', 'television actor']"
George Bancroft,13,M,1882-09-30,,/m/03jl2r,1,Q618616,American actor (1882–1956),United States of America,"['actor', 'military officer', 'stage actor', 'film actor']"
Wade Boteler,13,M,1888-10-03,,/m/02x2pfc,1,Q3564975,actor,United States of America,['actor']
Jon Hall,13,M,1915-02-23,,/m/05dtr6,1,Q585953,American actor (1915-1979),United States of America,"['actor', 'film actor', 'television actor', 'film director']"
Paulette Goddard,13,F,1910-06-03,,/m/01_2n6,1,Q95050,American actress (1910-1990),United States of America,"['actor', 'film producer', 'model', 'stage actor', 'television actor', 'film actor']"
Robert Vaughn,13,M,1932-11-22,,/m/01hbq0,1,Q314834,American actor (1932-2016),United States of America,"['actor', 'stage actor', 'television actor', 'film actor', 'voice actor']"
Angela Lansbury,13,F,1925-10-16,/m/0d7wh,/m/0161h5,1,Q206856,Irish-British and American actress (1925–2022),United Kingdom,"['voice actor', 'singer', 'film producer', 'writer', 'character actor', 'screenwriter', 'television actor', 'stage actor', 'film actor', 'television producer']"
Elisha Cook Jr.,13,M,1903-12-26,,/m/05c934,1,Q1330714,American actor (1903-1995),United States of America,"['actor', 'character actor', 'stage actor', 'television actor', 'film actor']"
Angie Dickinson,13,F,1931-09-30,,/m/02lyx4,1,Q235989,American actress,United States of America,"['television actor', 'film actor', 'actor']"
Arthur Treacher,13,M,1894-07-23,,/m/020csj,1,Q711731,English actor (1894–1975),United Kingdom,"['stage actor', 'film actor', 'television actor']"
Ray Collins,13,M,1889-12-10,,/m/06ybgd,1,Q1550341,American actor (1889-1965),United States of America,"['film actor', 'television actor', 'stage actor', 'actor']"
Dan Duryea,13,M,1907-01-23,,/m/05c1cm,1,Q1159055,actor (1907-1968),United States of America,"['actor', 'film actor', 'television actor']"
Edward Brophy,13,M,1895-02-27,,/m/05rg82,1,Q987741,American actor and comedian (1895-1960),United States of America,"['film actor', 'voice actor', 'film director']"
Mona Freeman,13,F,1926-06-09,,/m/074yjn,1,Q275779,American actress (1926-2014),United States of America,"['actor', 'painter', 'television actor', 'film actor']"
Wallace Reid,13,M,1891-04-15,,/m/03q8vb,1,Q947766,"American actor, film director and screenwriter (1891-1923)",United States of America,"['actor', 'film director', 'screenwriter', 'film actor', 'stage actor']"
Kimberly J. Brown,12,F,1984-11-16,,/m/05vf0s,1,Q125447,American actress,United States of America,"['actor', 'stage actor', 'television actor', 'film actor', 'voice actor', 'writer', 'model']"
William Haines,12,M,1900-01-02,,/m/02qq68,1,Q668993,"American actor, interior designer (1900-1973)",United States of America,"['actor', 'designer', 'screenwriter', 'film actor', 'interior designer']"
Lucile Watson,12,F,1879-05-27,,/m/079qlq,1,Q267829,actress (1879-1962),Canada,"['film actor', 'stage actor', 'actor']"
Lynne Overman,12,M,1887-09-19,,/m/0h160n,1,Q3269588,American actor (1887-1943),United States of America,['actor']
Tom Laughlin,12,M,1931-08-10,,/m/03zwzt,1,Q718935,American actor and political activist (1931-2013),United States of America,"['actor', 'film director', 'screenwriter', 'film producer', 'writer', 'politician', 'television actor', 'film actor']"
Clara Bow,12,F,1905-07-29,,/m/0qksf,1,Q234640,American actress and sex-symbol (1905-1965),United States of America,"['actor', 'film actor']"
Murray Hamilton,12,M,1923-03-24,,/m/06_3vs,1,Q978706,American actor (1923–1986),United States of America,['actor']
Shirley Jean Rickert,12,F,1926-03-25,,/m/0gz83t,1,Q2493657,Film actress (1926-2009),United States of America,['actor']
Jean Peters,12,F,1926-10-15,,/m/04q3w0,1,Q243005,actress,United States of America,"['television actor', 'film actor']"
Robert Preston,12,M,1918-06-08,,/m/02l5mv,1,Q451811,American actor (1918-1987),United States of America,"['stage actor', 'film actor', 'television actor', 'singer']"
Pauline Moore,12,F,1914-06-14,,/m/03d93my,1,Q9057087,actress (1914-2001),United States of America,"['actor', 'television actor', 'film actor', 'stage actor']"
Emily Roeske,12,F,1991-07-15,,/m/0h3gcy,1,,,,
Morris Ankrum,12,M,1896-08-28,,/m/0c8fy1,1,Q2421148,American radio/television/film character actor,United States of America,"['actor', 'lawyer', 'television actor', 'stage actor', 'film actor']"
O. J. Simpson,12,M,1947-07-09,/m/0x67,/m/016mbz,1,Q44473,American football player and felon (born 1947),United States of America,"['actor', 'athletics competitor', 'American football player', 'film actor', 'sports commentator']"
Loretta Young,12,F,1913-01-06,,/m/01934k,1,Q253384,American actress (1913–2000),United States of America,"['film actor', 'screenwriter', 'television actor']"
Moroni Olsen,12,M,1889-06-27,,/m/0g6zr3,1,Q1848730,actor (1889-1954),United States of America,"['stage actor', 'film actor']"
Denver Pyle,12,M,1920-05-11,,/m/036t_f,1,Q1189988,American actor (1920-1997),United States of America,"['actor', 'television actor', 'film actor']"
Blanche Sweet,12,F,1896-06-18,,/m/07y9rp,1,Q267718,American actress,United States of America,"['actor', 'stage actor', 'film actor', 'television actor']"
Anita Page,12,F,1910-08-04,,/m/02tg57,1,Q283342,American actress (1910-2008),United States of America,"['film actor', 'stage actor']"
Priscilla Presley,12,F,1945-05-24,/m/063k3h,/m/01dml6,1,Q234773,American actress and businesswoman and former wife of Elvis Presley,United States of America,"['actor', 'model', 'writer', 'entrepreneur', 'film actor', 'television actor', 'television presenter', 'manufacturer', 'television producer', 'memoirist', 'screenwriter', 'singer', 'film producer']"
Edna May Oliver,12,F,1883-11-09,,/m/04bjn7,1,Q242548,American actress (1883-1942),United States of America,"['character actor', 'stage actor', 'film actor', 'actor']"
Edmond O'Brien,12,M,1915-09-10,,/m/03bpn6,1,Q119935,actor (1915-1985),United States of America,"['film actor', 'stage actor', 'television actor', 'actor', 'film producer', 'film director']"
Ed Williams,12,M,,,/m/01xrv53,1,Q1282555,American actor,United States of America,"['actor', 'film actor', 'television actor']"
Michael McGreevey,12,M,1948-02-07,,/m/0dm3jpl,1,Q3308371,American actor,United States of America,"['actor', 'screenwriter', 'film producer', 'film director']"
Gene Nelson,12,M,1920-03-24,,/m/09cz9s,1,Q1501413,"American actor, dancer, screenwriter, director (1920-1996)",United States of America,"['film director', 'screenwriter', 'film producer', 'actor', 'television actor', 'film actor']"
Binnie Barnes,12,F,1903-05-25,/m/041rx,/m/074n6v,1,Q447612,English actress (1903-1998),United States of America,"['actor', 'television actor', 'film actor']"
William Holden,12,M,1918-04-17,,/m/012v9y,1,Q95002,American actor (1918-1981),United States of America,"['actor', 'television actor', 'film actor']"
James Coburn,12,M,1928-08-31,,/m/01337_,1,Q4227,American actor (1928-2002),United States of America,"['actor', 'screenwriter', 'film actor', 'television director', 'voice actor', 'television actor', 'stage actor']"
Walter Huston,12,M,1883-04-05,,/m/012dtw,1,Q162621,Canadian actor and singer,Canada,"['character actor', 'stage actor', 'film actor']"
Marcel Dalio,12,M,1900-07-17,/m/041rx,/m/07hp1y,1,Q1893008,actor (1900-1983),France,"['actor', 'film actor', 'television actor']"
Carole Lombard,12,F,1908-10-06,,/m/0c2ry,1,Q207739,American actress (1908-1942),United States of America,['film actor']
Susan Hayward,12,F,1917-06-30,/m/065b6q,/m/01938t,1,Q248837,American actress (1917–1975),United States of America,"['film actor', 'model', 'stage actor', 'television actor', 'actor']"
Rod Steiger,12,M,1925-04-14,,/m/0gm34,1,Q273215,American actor (1925–2002),United States of America,"['actor', 'television actor', 'film actor', 'stage actor']"
Jeanette MacDonald,11,F,1903-06-18,,/m/02hs3p,1,Q237030,American singer and actress (1903-1965),United States of America,"['film actor', 'actor', 'singer', 'musician', 'opera singer', 'stage actor', 'voice actor', 'recording artist']"
James Arness,11,M,1923-05-26,/m/09zyn5,/m/036jp8,1,Q470190,"American actor, best known for portraying Marshal Matt Dillon for 20 years in the CBS television series ""Gunsmoke"" (1923–2011)",United States of America,"['actor', 'television actor', 'film actor', 'film producer', 'television producer']"
Don Ameche,11,M,1908-05-31,,/m/02l0xc,1,Q310413,American actor (1908-1993),United States of America,"['film director', 'stage actor', 'film actor', 'television actor']"
Gerald Hamer,11,,1886-11-16,,/m/0cgryl7,1,,,,
Joanne Woodward,11,F,1930-02-27,,/m/01bj6y,1,Q1111542,American actress,United States of America,"['television actor', 'film actor', 'voice actor', 'theatrical producer', 'film producer', 'television producer', 'stage actor', 'actor']"
Lafe McKee,11,M,1872-01-23,,/m/02wbvgd,1,Q3216092,actor (1872-1959),United States of America,"['actor', 'character actor', 'film actor', 'film director']"
Victor Sen Yung,11,M,1915-10-18,,/m/04cvwk,1,Q1229342,American actor (1915-1980),United States of America,"['actor', 'television actor', 'film actor']"
Marjorie Main,11,F,1890-02-24,,/m/02h71m,1,Q445018,actress (1890-1975),United States of America,"['actor', 'character actor', 'stage actor', 'television actor', 'film actor']"
Lynne Roberts,11,F,1922-11-22,,/m/06_t89,1,Q15504160,Film actress (1922-1978),United States of America,"['actor', 'film actor']"
Julius Tannen,11,M,1880-05-16,,/m/0h2gfq,1,Q607389,American comedian,United States of America,['stage actor']
Benson Fong,11,M,1916-10-10,/m/0d2by,/m/03r2xh,1,Q2896707,American actor (1916-1987),United States of America,"['restaurateur', 'actor', 'television actor']"
Alexis Smith,11,F,1921-06-08,,/m/03wg5w,1,Q242482,Canadian actress (1921-1993),Canada,"['television actor', 'film actor', 'stage actor', 'actor', 'singer']"
Clayton Moore,11,M,1914-09-14,,/m/03y6y2,1,Q2978740,actor (1914-1999),United States of America,"['actor', 'television actor', 'film actor']"
David Manners,11,M,1900-04-30,,/m/04d782,1,Q359463,Canadian-born American actor (1900-1998),Canada,"['novelist', 'stage actor', 'film actor']"
Roland Young,11,M,1887-11-11,,/m/04jy08,1,Q1371212,actor (1887-1953),United Kingdom,"['stage actor', 'film actor']"
Chill Wills,11,M,1902-07-18,,/m/04yn6q,1,Q1072969,actor (1902-1978),United States of America,"['poker player', 'musician', 'stage actor', 'film actor']"
Janet Gaynor,11,F,1906-10-06,,/m/0cf3c,1,Q182462,American actress (1906-1984),United States of America,"['stage actor', 'film actor', 'television actor']"
Charles Grapewin,10,M,1869-12-20,,/m/04_b5q,1,Q920018,American actor (1869-1956),United States of America,"['actor', 'stage actor', 'film actor', 'screenwriter']"
Christopher George,10,M,1931-02-25,,/m/07pkpm,1,Q175908,American actor,United States of America,"['television actor', 'film actor', 'model']"
Arthur O'Connell,10,M,1908-03-29,,/m/04yn21,1,Q710888,"American actor; acting on stage, film and television; Oscar nominee (1908-1981)",United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Slim Summerville,10,M,1892-07-10,,/m/0gdjzf,1,Q2294197,actor & Director (1892-1946),United States of America,"['actor', 'film director', 'film actor']"
Jeffrey Lynn,10,M,1909-02-16,,/m/04ykm7,1,Q1686466,American actor,United States of America,"['teacher', 'stage actor', 'film actor', 'television actor']"
Wendell Corey,10,M,1914-03-20,,/m/057k43,1,Q1340156,American actor and politician (1914-1968),United States of America,"['actor', 'politician', 'stage actor', 'television actor', 'film actor']"
William A. Wellman,10,M,1896-02-29,,/m/06n9lt,1,Q290962,"American director, actor (1896-1975)",United States of America,"['film director', 'actor', 'screenwriter', 'aircraft pilot']"
Carmen Miranda,10,F,1909-02-09,,/m/0ddlf,1,Q121655,Portuguese-Brazilian actress and singer,Portugal,"['actor', 'singer', 'dancer']"
Gale Page,10,F,1913-07-29,,/m/04yk_2,1,Q460796,American actress (1913-1983),United States of America,"['actor', 'television actor', 'film actor']"
Anne Gwynne,10,F,1918-12-10,,/m/09rxfb,1,Q3617943,American actress (1918–2003),United States of America,"['actor', 'model', 'television actor', 'film actor', 'stage actor']"
Edmund Cobb,10,M,1892-06-23,,/m/03c9pcl,1,Q3048088,actor (1892-1974),United States of America,['actor']
Kay Hughes,10,F,1914-01-16,,/m/026w36w,1,Q6380208,American actress,United States of America,"['actor', 'film actor']"
Willard Robertson,10,M,1886-01-01,,/m/0415v68,1,Q3568320,American actor and writer (1886-1948),United States of America,"['actor', 'playwright', 'writer', 'film actor', 'stage actor', 'theatrical director']"
Victor Francen,10,M,1888-08-05,,/m/027fmr_,1,Q1383724,Belgian actor,Belgium,"['actor', 'stage actor', 'film actor']"
María Montez,10,F,1912-06-06,/m/027vy0s,/m/02s9tl,1,Q296283,Dominican actress (1912-1951),Dominican Republic,"['actor', 'model', 'film actor', 'poet']"
Vera Miles,10,F,1930-08-23,,/m/03lnqj,1,Q237864,American actress,United States of America,"['film actor', 'television actor', 'actor']"
Joan Bennett,10,F,1910-02-27,,/m/02m30v,1,Q128944,American actress (1910-1990),United States of America,"['stage actor', 'television actor', 'radio personality', 'film actor']"
Robert Cummings,10,M,1910-06-09,,/m/04qxvw,1,Q366678,American film and television actor (19__-1990),United States of America,"['television actor', 'film actor', 'stage actor', 'aircraft pilot', 'screenwriter', 'film producer', 'dancer', 'television producer', 'actor']"
Margaret Sullavan,10,F,1909-05-16,,/m/018qlp,1,Q238036,American actress,United States of America,"['film actor', 'stage actor', 'television actor']"
Tim Conway,10,M,1933-12-15,,/m/01nrgq,1,Q1304952,American actor and comedian (1933–2019),United States of America,"['stand-up comedian', 'actor', 'film producer', 'television producer', 'screenwriter', 'philanthropist', 'singer', 'dancer', 'voice actor', 'comedian', 'television actor']"
David McCallum,10,M,1933-09-19,,/m/01wgx4,1,Q313023,Scottish actor,Scotland,"['musician', 'stage actor', 'film actor', 'television actor']"
Jane Wyman,10,F,1917-01-05,,/m/01933d,1,Q95055,American actress (1917–2007),United States of America,"['television actor', 'film actor', 'actor', 'character actor', 'singer', 'recording artist']"
Helen Westley,10,F,1875-03-28,,/m/02vxb1m,1,Q276100,actress (1875-1942),United States of America,"['actor', 'stage actor', 'film actor']"
Eleanor Boardman,10,F,1898-08-19,,/m/03xyt2,1,Q447601,American film actress (1898-1991),United States of America,"['actor', 'film actor']"
Renée Adorée,10,F,1898-09-30,,/m/02l53h,1,Q284722,French actress,France,"['stage actor', 'film actor']"
Wendy Barrie,10,F,1912-04-18,,/m/0870zb,1,Q449766,English actress (1912-1978),United States of America,"['actor', 'stage actor', 'film actor', 'television actor']"
Conrad Nagel,10,M,1897-03-16,,/m/06wnf6,1,Q1126956,actor (1897-1970),United States of America,"['film actor', 'stage actor', 'television actor', 'television presenter', 'film director']"
Farley Granger,10,M,1925-07-01,,/m/03tnq5,1,Q240076,American actor,United States of America,"['film actor', 'autobiographer', 'stage actor', 'television actor', 'actor']"
Barney Furey,10,M,1886-09-07,,/m/03c56dw,1,Q4861721,American film actor,United States of America,['actor']
J. Edward Bromberg,10,M,1903-12-25,,/m/06p6pc,1,Q3156798,actor (1903-1951),Kingdom of Hungary,"['actor', 'stage actor']"
Harry Davenport,10,M,1866-01-19,,/m/0266wpg,1,Q744955,American actor (1866–1949),United States of America,"['actor', 'film director', 'stage actor', 'film actor']"
George C. Scott,10,M,1927-10-18,/m/02ctzb,/m/0l786,1,Q182450,"American actor, film director and producer (1927-1999)",United States of America,"['film director', 'character actor', 'stage actor', 'film actor', 'television actor', 'film producer']"
Harry Cording,9,M,1891-04-26,,/m/03y8mf2,1,Q1276956,British actor (1891-1954),United Kingdom,"['actor', 'film actor']"
Jane Powell,9,F,1929-04-01,,/m/01tn1yy,1,Q260099,"American actress, dancer, and singer (1929-2021)",United States of America,"['television actor', 'film actor', 'singer', 'actor', 'musician', 'dancer', 'stage actor']"
Dave Sharpe,9,M,1910-02-02,,/m/02x5ztx,1,Q5239679,stunt performer (1910-1980),United States of America,"['actor', 'stunt performer', 'film actor']"
Kevin Sorbo,9,M,1958-09-24,,/m/0jt9z,1,Q313655,"American actor, director and producer",United States of America,"['actor', 'autobiographer', 'television actor', 'film actor', 'film director', 'film producer', 'model']"
Laird Cregar,9,M,1913-07-28,/m/07bch9,/m/05g95h,1,Q918677,actor,United States of America,"['actor', 'stage actor', 'film actor']"
Brian Keith,9,M,1921-11-14,,/m/02zyq6,1,Q710862,actor (1921-1997),United States of America,"['actor', 'character actor', 'stage actor', 'television actor', 'film actor']"
Dorothy Malone,9,F,1925-01-30,,/m/033p3_,1,Q230126,American actress (1924-2018),United States of America,"['actor', 'television actor', 'film actor']"
George Meeker,9,M,1904-03-05,,/m/0f8463,1,Q3101763,American actor,United States of America,"['film actor', 'stage actor']"
Chubby Johnson,9,M,1903-08-13,,/m/0fqqcz,1,Q5115269,American actor,United States of America,"['actor', 'journalist', 'television actor']"
Tim Spencer,9,M,1908-07-13,,/m/0ddbqx2,1,Q7804324,singer and actor (1908-1974),United States of America,"['actor', 'singer-songwriter']"
Irene Dunne,9,F,1898-12-20,,/m/0183xv,1,Q230099,American actress (1898-1990),United States of America,"['film actor', 'stage actor', 'television actor', 'singer', 'delegate']"
Robert Armstrong,9,M,1890-11-20,,/m/08c1f5,1,Q82360,American actor (1890-1973),United States of America,"['actor', 'film actor']"
Jay Silverheels,9,M,1912-05-26,/m/01sq7s,/m/019wrw,1,Q981630,film actor (1912-1980),Canada,"['actor', 'lacrosse player', 'film actor', 'television actor']"
Hugh Farr,9,M,1903-12-06,,/m/0gcfvqk,1,,,,
Mary Philips,9,F,1901-01-23,,/m/04664ng,1,Q275428,American stage actor (1901-1975),United States of America,"['actor', 'stage actor', 'film actor']"
Eric Linden,9,M,1909-09-15,/m/065b6q,/m/0gn989,1,Q4261959,American actor (1909-1994),United States of America,['actor']
Marjorie Rambeau,9,F,1889-07-15,,/m/079q2l,1,Q455912,American actress,United States of America,"['stage actor', 'film actor']"
Cecilia Parker,9,F,1914-04-26,,/m/02q7wxb,1,Q2943731,Canadian-American actress (1914–1993),Canada,['actor']
Pierre Watkin,9,M,1889-12-29,,/m/025vrx_,1,Q3387342,actor (1889-1960),United States of America,"['actor', 'television actor']"
Ann Sothern,9,F,1909-01-22,,/m/02l0sf,1,Q235289,American actress (1909–2001),United States of America,"['singer', 'stage actor', 'film actor', 'television actor', 'actor']"
Sabu Dastagir,9,M,1924-01-27,/m/01336l,/m/06k5vz,1,Q921798,actor (1924-1963),United States of America,"['actor', 'film actor']"
Fay Bainter,9,F,1893-12-07,,/m/018qkz,1,Q152888,American actress (1893-1968),United States of America,"['actor', 'stage actor', 'film actor']"
Lucien Littlefield,9,M,1895-08-16,,/m/027j98h,1,Q3265616,American actor (1895–1960),United States of America,"['actor', 'television actor', 'screenwriter']"
Leonid Kinskey,9,M,1903-04-18,,/m/02rzk21,1,Q1819392,American actor (1903-1998),Russian Empire,"['actor', 'film actor', 'television actor']"
